	x
202036	2
362970	2
429080	2
27638	2
88226	2
126227	2
162938	2
188045	2
246142	2
290507	2
300258	2
348922	2
365744	2
390538	2
433453	2
489980	2
10001	2
51569	2
116422	2
159947	2
184977	2
191044	2
265214	2
100017	2
263647	2
315862	2
267700	4
376628	2
464375	9
298856	1
472429	1
179592	2
464366	4
260929	5
411257	1
286364	7
316953	5
467329	5
491602	5
100030	3
209079	1
10004	5
347354	1
57611	4
238433	3
283396	4
140247	3
263741	1
285760	1
360574	3
416820	1
419049	3
86478	3
195031	3
245641	3
368935	2
100049	5
149194	5
297832	5
327927	1
430267	5
536191	5
118025	3
174402	5
330955	4
11272	2
219421	1
452054	2
501457	1
366493	1
100066	4
277567	6
100302	3
369148	2
100067	4
115007	3
344717	3
496660	3
334718	3
461186	4
118574	1
10008	3
123501	3
228644	3
350969	3
444737	3
10898	3
31743	3
170645	4
262922	1
100090	1
213509	2
286657	2
371068	2
447269	2
100092	2
173970	2
376346	2
100107	1
394213	1
100109	3
100108	3
100111	4
247644	1
247697	2
249119	1
288579	2
323298	3
428135	1
10011	4
179646	4
286211	4
379380	4
435950	4
492817	4
139319	2
339593	3
522785	2
120229	3
182129	2
380153	2
417667	3
439430	2
100126	2
159595	2
114974	2
191213	2
215331	2
283815	2
100155	3
114782	8
349179	8
104051	7
202827	2
465342	2
488800	2
519875	1
100157	3
200332	3
279701	3
429311	3
515277	3
100159	1
130026	3
296027	2
454247	3
100160	2
471493	4
495760	4
171277	1
312528	1
521134	1
233447	3
100178	3
369070	3
100	7
125841	8
173619	7
378845	7
100179	3
408460	3
100180	1
532084	1
102946	1
100187	2
194774	1
323322	1
433767	2
471060	2
490912	1
10019	7
164042	4
190637	3
287628	7
323614	5
365732	1
402122	4
420108	5
482365	3
528646	5
516521	4
534769	6
14012	5
186408	5
228478	1
287632	5
353292	4
420098	7
149102	2
300189	2
433196	2
205100	3
303083	4
100203	1
235115	5
525758	1
100209	3
227916	11
288521	6
357004	6
224241	2
344571	4
441931	1
100211	4
341496	4
365721	3
100225	1
120212	1
543922	2
61532	2
314642	2
377811	2
133716	4
100229	1
189332	2
185325	3
272915	3
100231	5
329696	2
394335	2
483498	3
280056	3
377724	3
394341	2
529747	3
1002	2
145575	1
58695	2
100267	2
254786	2
311202	3
485070	3
143831	3
414884	5
100275	3
417419	1
495018	3
362691	3
308886	1
423940	1
158198	6
100294	4
146129	1
283343	1
200262	2
299274	2
519723	3
519722	3
100295	2
118213	12
543957	4
100299	3
542532	3
548206	2
239273	8
457975	8
311456	3
100305	5
539828	3
545871	5
103322	13
138441	17
276673	9
544524	18
545186	4
545672	11
100310	14
282230	14
545006	17
548425	9
119576	12
103169	1
349013	1
100335	4
403855	3
499553	4
391070	4
10036	1
152151	1
360445	4
1791	7
10559	6
31955	3
39061	6
55251	6
76561	6
78306	5
110258	6
122210	6
127362	7
217545	6
232843	6
246268	8
248881	3
272005	6
290305	6
327482	3
347209	8
371924	4
429022	3
432728	6
434590	6
448213	6
455678	3
473325	3
495641	8
511389	3
531955	6
473	5
4032	6
11962	12
23725	8
24868	11
27246	6
30634	7
37662	7
41142	6
49445	8
52884	7
56667	5
59156	4
63043	8
72033	9
74710	11
77743	6
78903	9
80417	11
80882	10
83459	7
89344	6
96627	5
104075	5
106227	7
108072	8
114232	6
119080	6
123911	5
125754	7
126509	11
127863	6
129445	7
129974	7
135880	8
136705	9
140543	8
150046	6
152277	7
158100	5
164069	5
168234	7
174276	11
186049	7
187896	5
190410	5
192343	7
199723	6
201012	7
201943	6
206609	7
209233	5
215059	5
223518	8
224669	6
227772	9
229427	11
231934	5
235898	11
243183	7
247400	6
250656	11
252611	5
258422	11
260008	7
260787	7
261288	12
265810	6
269923	7
278020	5
285691	5
286943	5
295937	5
297260	9
299505	6
300059	5
301957	2
303372	7
304466	7
306549	5
308700	7
310472	5
316094	7
326953	5
330266	9
331134	6
337290	6
343795	6
354812	11
361251	7
363005	7
366857	2
373411	6
378055	9
386286	11
394239	5
397717	9
401632	11
402147	5
405962	11
408124	9
411685	7
412997	7
418771	6
423137	14
427409	5
428884	7
430682	3
434171	6
435003	11
435815	8
438065	9
439737	5
441372	7
445760	5
446425	7
449559	7
449971	7
452781	7
455550	5
457472	5
458141	6
464129	3
467390	5
472055	7
478908	3
483472	7
489388	9
494162	7
497928	6
504275	2
513078	8
513538	8
528044	5
536908	7
543310	12
106110	6
138259	4
151467	5
226736	5
264735	6
495661	4
538791	4
543230	8
543816	4
544900	9
545520	6
546487	2
546918	8
132752	5
182610	6
547521	7
145275	6
532686	5
543818	7
546059	5
100374	6
283674	9
100377	7
161710	8
107751	6
492143	6
105473	1
100383	2
325186	6
486112	4
102760	2
177192	2
100394	2
186430	2
320672	1
428880	1
498315	2
396870	2
10039	2
142539	5
216636	2
264652	2
312591	2
361450	2
418532	2
435468	2
491102	6
100402	4
476636	5
263419	1
532540	1
109987	3
141191	5
542247	2
100413	3
547897	5
129109	5
465109	2
100416	1
318460	1
100420	5
299066	4
250254	3
100421	5
544304	6
100423	3
100428	1
120424	3
120426	3
222100	4
398941	5
421296	3
496883	5
534817	4
543975	3
338038	1
538258	4
271269	3
100427	6
545818	7
209768	1
247135	1
10043	1
14873	1
49341	1
88466	1
90814	1
104464	1
114908	1
145002	1
152255	1
157236	1
164193	1
186796	1
196152	3
220052	1
259805	1
274766	1
281444	1
296691	1
337377	3
342025	1
354870	1
415942	1
455145	2
496559	1
523060	1
527052	1
543370	1
409862	1
100437	1
376670	1
187344	2
208036	2
100453	2
204130	2
408464	2
10045	2
377192	5
100460	4
177698	3
279091	3
369663	3
482279	4
162653	4
100464	4
200566	6
115976	2
171872	2
214688	1
260610	1
377902	2
462273	2
162089	1
213400	1
360091	1
100472	4
390940	4
34260	6
37744	7
39855	8
43764	5
52650	5
54988	7
62199	5
69300	6
72212	7
120588	5
123431	10
125164	7
128475	5
129867	8
132911	6
135924	5
137746	7
149550	5
172875	7
173861	7
176214	7
186089	9
189210	7
191069	6
201651	7
202240	7
208277	5
213005	10
216180	6
221285	5
223871	5
249278	9
252287	7
255903	5
259784	8
260322	8
260881	6
263982	7
267522	5
281942	6
286441	11
289658	5
290750	6
296559	11
297627	7
302834	12
303645	5
305823	7
308656	5
309948	5
310996	6
317167	7
328183	7
330569	8
334872	7
338104	5
345900	8
352675	12
360613	5
361820	8
363566	12
372766	5
373890	6
378205	7
381231	5
386318	9
397215	7
400154	6
417531	6
428441	10
432090	14
432741	13
435805	5
436010	7
438461	7
441261	8
445710	8
445827	6
449708	6
450574	7
453009	14
464401	6
470195	9
482871	11
484870	9
490982	5
498577	5
511837	7
534395	6
537169	7
100477	2
408495	3
517224	3
137533	1
364156	2
432736	2
14689	6
24415	6
47681	4
66347	4
70140	4
98898	5
113954	5
120027	6
130117	4
146178	4
158097	5
188736	5
224258	5
233229	5
258013	5
273645	8
283869	5
327872	4
342953	5
388951	6
392533	6
398749	5
416351	6
440239	6
455962	6
459444	6
460432	6
469814	5
489623	4
493892	5
513283	5
525353	3
100482	6
548029	6
495804	3
547907	4
546720	2
100483	2
221295	2
114088	2
145569	3
370257	3
488170	4
100484	4
534816	4
133542	3
53788	8
273790	3
298271	4
100491	11
546021	13
535290	11
100497	2
379230	3
10050	4
84400	3
414498	3
100515	1
311869	1
445719	1
128048	3
166229	1
229483	2
347771	3
410630	2
503345	1
100528	3
200563	3
252587	2
299674	3
441031	2
512030	2
290859	3
363239	3
481554	3
531881	3
100533	2
232882	2
120523	1
100539	1
197426	1
10054	4
26713	4
45154	3
58514	4
68784	4
79901	4
110066	5
117517	3
161202	4
172242	4
176269	4
219005	2
219977	4
219980	4
228236	4
236240	4
247838	4
252596	4
270372	4
292202	4
294936	4
312163	4
326025	4
336180	4
342511	5
357394	6
397072	4
421091	4
430126	4
435244	4
435260	5
445079	5
448629	4
487120	4
500191	2
507826	5
517530	3
524133	3
537487	3
541000	2
68779	4
75004	4
219976	4
219978	4
228233	4
228239	4
236243	4
248267	4
336176	4
336198	4
435249	4
502394	3
100547	2
287995	2
522403	2
406232	3
100571	4
419075	3
520922	2
444758	4
484254	2
46686	2
120693	2
236957	3
392173	2
100580	3
207613	6
524603	3
176748	2
451741	2
100586	2
100600	2
100589	1
357577	1
100593	1
136657	2
245972	2
410042	1
523703	1
100594	2
289556	2
100597	4
349475	4
428516	2
125196	1
238331	1
492482	1
25836	3
50204	5
98160	4
141424	5
299895	2
354457	5
400260	3
484083	3
507340	6
226952	2
480980	2
10060	5
59660	3
108523	3
144223	4
193813	3
203306	4
208680	5
216171	4
249618	3
319982	4
340830	5
400910	3
431122	3
448134	4
470584	3
496777	3
339958	5
382708	5
100609	3
332902	3
178453	2
448255	2
1430	4
3113	3
5852	3
