"","x"
"0",0
"1",25.6363636363636
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",1345.63295985061
"10",73.5137426900585
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",579.957736807097
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0.0769230769230769
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",997.095300983846
"38",0
"39",0
"40",0
"41",0
"42",0
"43",3599.41009394129
"44",0
"45",0
"46",0
"47",8446.08361061771
"48",0
"49",0
"50",0
"51",0
"52",0.0769230769230769
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",2678.325922014
"63",0
"64",0
"65",0
"66",0
"67",7702.57172644364
"68",0
"69",0
"70",0
"71",0
"72",0
"73",1618.45394670764
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",10557.419761537
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0.0769230769230769
"96",0
"97",7307.27878787878
"98",0
"99",0
"100",0
"101",0
"102",57.0363636363636
"103",25.6363636363636
"104",0
"105",775.724162112397
"106",0
"107",2200.78697596506
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",1615.0575719602
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",4227.26629318394
"124",0
"125",0
"126",25.6363636363636
"127",57.0363636363636
"128",0
"129",972.235849966878
"130",0
"131",73.5137426900585
"132",0
"133",0
"134",0
"135",0.0769230769230769
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",1815.31640531512
"143",0.0769230769230769
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0.0769230769230769
"159",0
"160",0
"161",0
"162",55.7974289675864
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0.0769230769230769
"171",0
"172",0
"173",0
"174",6611.41544886889
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",2508.24797841814
"184",0
"185",1580.15768150128
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",1615.0575719602
"193",25.6363636363636
"194",0
"195",5925.76752324118
"196",0
"197",0
"198",0
"199",0
"200",0
"201",0
"202",4597.92711366197
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0.0769230769230769
"221",25.6363636363636
"222",5209.69204276115
"223",0
"224",560.322195196108
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0.0769230769230769
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",57.0363636363636
"243",0
"244",0
"245",10974.699107114
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0.0769230769230769
"254",0
"255",0
"256",0
"257",386.942073509566
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",8730
"268",0
"269",0
"270",0
"271",0
"272",0
"273",1907.4462885154
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",0
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",8571.39604368649
"303",2852.66847153758
"304",0
"305",0
"306",0.0769230769230769
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",0
"320",2314.27165408289
"321",0
"322",13521.9527740353
"323",0
"324",0
"325",0
"326",10018.1272725267
"327",0
"328",0
"329",5935.79742896758
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",25.6363636363636
"337",0
"338",1121.89588420919
"339",0
