"","x"
"1",2
"2",66.5
"3",145.5
"4",0
"5",0
"6",10.8333333333333
"8",233.166666666667
"9",216.816666666667
"10",53.5166666666667
"11",80.0166666666667
"12",243.483333333333
"13",162.95
"14",308.1
"15",188.166666666667
"16",135.5
"17",0
"18",11.1666666666667
"19",0
"20",5.83333333333333
"21",0
"22",0
"23",0
"24",59.1
"25",0
"26",554.5
"27",329.183333333333
"28",40.1666666666667
"29",1.83333333333333
"30",0
"31",4
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",29.6666666666667
"56",0
"40",88.5833333333333
"41",253
"42",24.5
"43",0
"44",350
"45",5
"46",0
"47",0
"48",0
"49",334.333333333333
"50",9.5
"51",3.16666666666667
"52",0
"53",456.5
"54",0.166666666666667
"55",0.166666666666667
"57",0
"58",0
"59",0
"60",8.08333333333333
"0",0
"7",0
"39",0
