"","x"
"517",65438.3272584721
"1024",3733006.77185418
"2059",0
"2429",222176.008054166
"5036",5506559.45115505
"5088",4
"5873",2811401.72449011
"6752",234455.349762711
"8752",40299.0837144911
"9553",1743408.79036001
"10763",194714.160008697
"13841",0
"15231",370390.719146966
"16100",2229130.78996284
"19573",112766.825053281
"26797",0
"28080",84720.0657643341
"28755",0
"43824",0
"48423",0
"61005",1101964.78258068
"103527",209135.773163013
"139888",0
"156534",0
"180201",1597454.42152603
"181664",0
"183004",0
"224411",599092.526877732
"282577",0
"319813",319015.34519337
"526519",0
"1",1
"5",324835.502524044
"551",0
"571",85571.9919868287
"642",817130.016609512
"678",15944
"698",47887
"9314",0
"33897",0
"521325",15950
"608725",0
"406981",0
"234134",9
"459129",0
"114459",0
"335490",0
"282586",1
"106235",164666.865920362
"90518",84475.3659051657
"37101",17
"51027",8984.48279198159
"27093",16289
"10992",156108.581943439
"128864",0
"626",85915.9919868288
"15487",0
"6253",66576.0564872554
"281546",1
"137116",133.462935080406
"590",15944
"2",0
"3387",0
"3396",0
"84114",0
"3438",32576
"132967",15944
"132973",0
"132981",0
"132987",0
"743",15946
"1825",0
"1886",4431390.91984937
"1999",1280873.64113517
"2529",793720.333702959
"6656",491689.420063346
"11414",222155.382904519
"16009",148457.031895513
"18690",4740172.45614645
"20221",241033.26974766
"20395",2945136.39052739
"20444",52192.4605738353
"20599",684252.418556136
"20842",159732.930643564
"21018",212113.570925722
"21049",1347573.74542915
"24804",1570566.91972633
"28594",67281.5079039437
"30077",7406.11253756601
"36467",0
"49498",88994.5263933068
"63140",100272.57226439
"64005",1024756.29359134
"65390",80517.5131598952
"72470",1414031.67560939
"73918",592677.355143663
"78452",128169.01106009
"87033",16289
"91005",430784.152044888
"91331",0
"91922",119136.651226826
"92302",690391.053929114
"93053",11739447.4873295
"93150",544367.921574921
"93627",0
"94042",46543.594290418
"95741",16302
"96277",359955.193387622
"97158",4839791.12876959
"105767",284969.3106683
"117236",27841.0593291545
"129584",976135.478994105
"132238",3909.52679226961
"145200",0
"167993",0
"180244",0
"181469",0
"182276",0
"191350",0
"212060",0
"216834",0
"228896",17158.0723289714
"234120",0
"240877",1
"242761",16292
"246413",906257.996192033
"249664",31890
"252038",0
"257303",0
"262741",0
"262810",2
"353177",0
"360361",0
"374142",0
"374226",0
"374304",15838.4166754658
"394361",1
"517233",0
"71186",107064.46905924
"104642",0
"353898",0
"594787",0
"530605",0
"518758",31898
"516180",16289
"355876",2
"472590",0
"682",0
"580",15944
"611",31543.5083992295
"660",0
"665",0
"29799",0
"29801",0
"29803",0
"29805",0
"29808",2
"33507",0
"37362",0
"287220",0
"287229",0
"535890",0
"535",0
"539",15944
"553",0
"557",0
"566",0
"575",446288.491587098
"584",158028.172259963
"601",11182.6369215465
"609",0
"620",15947
"634",0
"654",219443.230529706
"677",1
"685",0
"700",31950
"70403",0
"22731",1715281.39038163
"36314",297594.984073986
"103939",0
"280334",2
"280343",0
"369602",8
"325393",0
"552491",0
"585",31888
"91042",415826.146332854
"79758",0
"36370",0
"29686",0
"286538",0
"19713",0
"37034",0
"554",110048.764551633
"36676",28061.9795830643
"36680",0
"40",671703.250223411
"455",4624443.48371244
"794",111303.004521876
"990",45578.8558838796
"1071",575935.354092933
"1203",331932.170033035
"1603",86282.3725636262
"1970",2773098.67261253
"2890",167946.689483736
"3406",787266.142697104
"3797",4215507.70818665
"4891",165023.622612385
"5136",4561317.53634349
"5502",1867351.2890765
"7142",1105140.41373927
"7682",6260463.61193168
"8745",199226.90702742
"9378",414249.788849605
"9430",747593.040697115
"9813",378651.954819671
"11304",1417607.77477309
"14785",116469.717652598
"15534",575988.121984488
"17795",99530.7699133661
"18553",69935.8927787781
"19198",230763.316887511
"21523",317859.124970588
"22409",251098.67985817
"22823",142301.346304967
"22946",167333.347533345
"24092",885999.316726236
"24390",32830.0214120487
"24542",102393.081138775
"24836",94746.4906623856
"25768",421134.153074917
"26645",16679.5739383698
"27144",248209.032533814
"27388",89042.9415848214
"27403",0
"27559",0
"27667",244495.988505144
"28115",238762.536912009
"28492",50466.0839530166
"28925",117068.774982575
"30953",258495.864596741
"35295",7266925.89167991
"35404",9841.45210397814
"35561",758801.104307203
"38703",21694.3155889102
"43884",0
"44722",144560.823297206
"45246",0
"49956",285179.96702978
"58255",73973.273013332
"59676",1000493.07161058
"60699",1
"60995",0
"72773",290832.127488325
"76608",59290.1355735724
"88014",1523937.8266286
"90311",8
"91849",111781.494179581
"101170",607528.603232247
"103299",440396.111306662
"110076",26326.3931394477
"125490",0
"129865",20
"129878",129425.572917923
"129900",1417138.76620827
"129916",0
"130648",44938.4480758458
"138162",15946
"140495",903392.367616047
"169655",313787.981632526
"176058",63780
"183730",247602.330479989
"191052",0
"193934",942828.208265887
"197503",74054.5564835639
"202691",707713.787803726
"205329",1199502.50965604
"206938",256807.79194641
"218319",48271.739818907
"232383",1
"258222",0
"258728",0
"261796",282588.272136117
"267323",81503.8685936016
"273647",111238.43011706
"279178",185571.118094215
"297351",0
"305902",2
"318233",0
"384184",0
"434142",0
"484656",0
"619063",35810.1876537233
"645203",401040.253990786
"651197",30143.4346551792
"21884",558290.89053059
"205656",0
"260355",346272.504676183
"37364",280100.814194584
"204152",0
"7977",450532.255691773
"504784",94150.0989691984
"592717",16631.4220506867
"211209",137519.053563795
"434728",0
"129732",219204.431620951
"268660",0
"49162",127926.088727484
"173194",243005.663616256
"207505",16288
"138428",0
"1613",31886
"5201",0
"10599",770611.890052236
"23245",103379.274472497
"157580",0
"3520",15946
"74995",0
"133817",0
"367991",0
"368928",16098.9714963646
"28671",0
"67211",15944
"442001",65160
"5192",0
"512904",0
"399016",156.07696445552
"141613",0
"823",2228175.63182099
"3776",616550.16766907
"4936",4458435.49250343
"9400",420773.175352192
"21590",481899.199415262
"24555",105208.438116408
"25134",16288
"26689",16289
"28149",491327.39742025
"40157",244469.483742909
"51634",0
"82445",207737.916447907
"118747",48972.236434443
"131874",0
"135391",190895.114756008
"144926",0
"162799",0
"193931",6
"258304",5
"290574",0
"485520",0
"485522",0
"485524",0
"505166",0
"132791",17176.5030372691
"72",2595772.75490028
"495",0
"702",32578
"963",189216.565802811
"1919",0
"3547",487211.078431232
"5564",778803.065907761
"6237",0
"7479",0
"8193",18183.241743727
"8446",0
"8476",326004.086473063
"9059",136310.010967466
"10264",1385984.52132453
"13245",0
"18209",48905.4106953704
"21894",0
"24944",0
"25204",2
"28084",262845.884796999
"36049",2
"36116",0
"36190",0
"36298",0
"36318",0
"36363",0
"36411",63422.3648044688
"36434",53100.2924735464
"36556",0
"36649",3
"40101",0
"46532",0
"57530",544798.687689249
"83417",0
"108770",0
"160772",0
"182780",16290
"301448",0
"386504",0
"391305",0
"1709",398897.768675197
"14460",234760.584990576
"6476",3711461.00034475
"5385",0
"11",17520.5030372691
"1975",45941.6067691279
"3509",228518.968349113
"5104",0
"11873",64840.393899947
"24897",0
"30227",16289
"13",0
"78",108416.986254703
