"","x"
"517",150090.830476915
"1024",2147777.22519596
"2059",0
"2429",76212.3779239033
"5036",1416654.12997469
"5088",8
"5873",454335.891588954
"6752",34263
"8752",0
"9553",496807.565011768
"10763",67635.4600546068
"13841",0
"15231",108445.624615532
"16100",968413.521810264
"19573",21039.5979486206
"26797",13704
"28080",0
"28755",0
"43824",0
"48423",0
"61005",248260.248374815
"103527",20559
"139888",0
"156534",0
"180201",810924.213152692
"181664",0
"183004",0
"224411",251099.664448146
"282577",0
"319813",34295
"526519",0
"1",0
"5",8
"551",0
"571",0
"642",13712
"678",0
"698",0
"9314",0
"33897",0
"521325",0
"608725",0
"459129",0
"29649",0
"382726",0
"2014",6451
"95969",0
"132972",0
"132978",0
"132982",0
"443577",0
"1291",0
"1864",0
"1970",343481.289445757
"2287",523192.93911693
"6444",38952.2860514007
"9532",43387.2028087249
"11897",259889.997495775
"16010",16385.7952858164
"19989",79158.4792696571
"20328",5139134.65050003
"20426",133186.288595562
"20509",354117.354912843
"20796",115807.208390181
"20889",0
"21021",21109.5479718209
"23130",326276.254262005
"25746",0
"29293",8095.61442387742
"30191",717484.395187581
"45639",0
"57083",72285.9253252512
"63616",13705
"64042",80692.9087155004
"66862",0
"72550",96895.4118694887
"73921",0
"86337",13712
"90490",27422
"91307",0
"91778",14327.5780060434
"92031",89459.6720362693
"92719",20562
"93149",3
"93167",25792
"93849",6855
"95497",0
"96057",33
"96984",187953.251603234
"105021",66493.4023152027
"117172",118868.383290744
"125448",27
"130073",0
"132499",0
"165476",2
"174805",109132
"181462",64104
"182271",0
"190636",6450
"196365",32420
"214933",0
"225151",0
"230927",0
"235623",39879
"241326",0
"243726",0
"248768",0
"250023",0
"256836",0
"262718",0
"262769",0
"268038",32275
"354876",0
"374132",0
"374216",1
"374250",2
"374336",2
"409115",0
"519228",0
"530605",0
"580",0
"616",1
"661",0
"677",6448
"29800",0
"29802",0
"29804",0
"29807",0
"33506",0
"37361",0
"284987",0
"287223",0
"295227",0
"538",0
"541",0
"555",0
"559",12896
"587",0
"606",19344
"619",0
"625",0
"630",0
"653",0
"656",0
"675",172916.071278036
"680",0
"552490",0
"616698",0
"301618",0
"234132",0
"234135",0
"434728",21
"5192",0
"141613",2
"823",370389.984035634
"3776",0
"4936",473758.145132935
"7682",3628563.86064009
"9400",6852
"21590",865358.109188122
"24555",124244.11718756
"25134",0
"26689",0
"28149",29526.9628286312
"30953",0
"40157",194486.69907275
"51634",0
"82445",188687.999489189
"118747",0
"130648",0
"131874",0
"135391",138855.654798161
"144926",0
"162799",0
"193931",1
"258304",1
"290574",0
"485520",0
"485522",0
"485524",0
"72",1083077.89704726
"495",0
"702",0
"963",100795.377597381
"1919",0
"3547",84853.2734691997
"5564",68707.8404180752
"6237",0
"7479",0
"8193",0
"8446",0
"8476",61215.1127769213
"9059",13708.1207298484
"10264",58520.0933337884
"13245",0
"18209",1
"21894",2
"24944",0
"25204",0
"28084",489953.430316454
"36049",0
"36116",6878
"36190",0
"36298",0
"36318",0
"36363",0
"36411",6831
"36434",12898
"36556",0
"36649",0
"40101",0
"46532",0
"57530",132783.294454916
"83417",0
"88014",334092.277815681
"108770",0
"160772",0
"182780",1
"301448",0
"386504",0
"391305",0
"564405",0
"558480",0
"445560",0
"214741",0
"15",6854
"78",7128.96420083906
"140",0
"249",2888.96375652293
"274",0
"291",1677.96932138957
"306",16483.6494468095
"376",0
"470",235420.94143119
"714",0
"760",3060.83783798744
"790",1716.23446625389
"811",288321.007275495
"875",41565.5304422147
"905",110303.496238953
"1155",12
"1455",150954.612036073
"1709",111472.211142455
"1993",6856
"2057",23398.5495587382
"2252",155526.561680753
"2849",0
"2890",388846.818359882
"3220",316403.580971678
"3406",55920.6278237926
"3488",0
"3670",28289.071862579
"3935",0
"4228",0
"4396",22425.3466192964
"4921",1787335.30580866
"5094",181711.910208563
"5418",3723.46364295301
"5510",6448
"5573",46533.4015685632
"5768",264450.286553378
"5962",163886.279771557
"6035",25800
"6158",469593.995102177
"6230",0
"6663",0
"6762",60805.6879715533
"6771",0
"7115",0
"7371",1141060.28866635
"7735",0
"7794",102162.366655732
"7858",0
"7977",48128.6948130977
"8036",98504.5836472337
"8170",355489.006077324
"8706",1922269.00000193
"8792",0
"8850",0
"8879",149847.337418312
"8902",0
"9074",150418.564692901
"9136",12898
"9378",85668.4005155329
"9669",0
"9813",119164.14990403
"9885",21064.2055696952
"11176",2941.32921756564
"11274",559190.17890311
"11707",20220.7688083985
"11970",0
"12862",6447
"13040",210228.160441065
"13093",0
"13659",1343.21990452827
"14253",0
"14785",22324.619314471
"14844",0
"15007",0
"15310",13997.4895362082
"15419",0
"15534",13726
"16301",6
"16439",17391.7446288894
"16475",0
"17231",2
"17373",0
"17413",7
"17822",302061.350271337
"19168",6851
"19198",6852
"19253",12894
"19410",102258.804615086
"19577",0
"19763",0
"22088",13704
"22242",0
"22409",54067.7497381648
"22731",2033904.46805985
"22750",35606.9156461911
"22866",193995.359495261
"22909",47033.9891308949
"23044",30902.7598457831
"23250",340003.771055001
"23391",0
"23612",151297.437751308
"23804",396219.856814217
"24092",282924.301046557
"24284",25477.7299630617
"24413",6870.71338136902
"24709",13706
"25035",336745.839292865
"25689",13701
"25796",182273.335300633
"26001",335849.182397404
"26714",880089.951788663
"27368",8311.62516150587
"27414",542642.309210418
"27416",554830.060287002
"27432",65934.4377529438
"27533",0
"27977",1012476.37682023
"28110",1183414.20612062
"28798",6859
"29528",4524.71280573061
"31340",103570.831163785
"35295",1898756.41069404
"35383",75394
"35491",0
"36314",139921.203248837
"36732",139822.475934024
"36803",0
"36921",0
"37307",334471.612832518
"38038",0
"38223",6851
"38425",0
"39184",22262.9719834897
"40791",0
"42715",0
"43849",0
"43940",1530.75213375803
"43994",7659.41116566358
"44072",0
"44993",6855
"47294",0
"47425",20559
"47637",62007.9888374683
"47706",9056.3024227316
"47737",0
"48611",24220.0905918082
"51676",0
"57622",0
"59041",0
"59756",0
"60797",0
"61002",8
"63192",2
"66988",48354.1777070331
"69180",45
"70759",0
"73396",82720.9761201389
"73656",0
"76840",71027.505676709
"84747",76959.5956702527
"84994",23344.4515734266
"87763",0
"89667",0
"91849",0
"100827",6853
"102609",1092550.98961396
"103507",0
"108114",711135.349641209
"122248",0
"125129",63523.489014685
"126081",2
"127747",733189.703450646
"129821",18
"129900",86824.4934449208
"130137",0
"133392",0
"136882",872582.85942393
"139709",0
"153221",0
"153227",0
"154880",240578.720493839
"157072",7928.22123778223
"165378",0
"167010",179699.157908453
"169655",32250
"171482",1
"172021",0
"175210",7
"177539",13712
"184962",499199.93167651
"190871",0
"193399",489776.312542382
"193427",0
"193433",87674.9031472642
"197344",34248
"198456",0
"201690",241359.089411207
"202698",103226.493772725
"202973",12898
"203642",2
"205061",13704
"206917",370530.40244236
"207486",159639.759385036
"211209",1390278.38311618
"221318",0
"226063",251399.809406897
"251173",6852
"260639",0
"263081",70629.9314536256
"267323",1
"273311",0
"274827",37280.7133601125
"279148",7434.8971069779
"280055",0
"281492",19386
"281507",0
"281518",0
"281541",0
"281546",0
"281548",0
"281571",12912
"281576",0
"281588",6463
"281600",0
"281614",0
"300636",0
"322322",19395
"326699",6466
"376393",0
"421229",14
"453576",0
"468928",4
"495725",276827.537414699
"521551",6449
"553060",0
"601770",0
"636654",0
"636658",0
"651119",75721.0439255039
"651150",0
"651231",2
"655500",1634680.24469957
"656376",677715.931543572
"605096",1
"213368",0
"102801",16
"10173",0
"240",0
"18967",0
"70477",0
"322128",6
"68",0
"242",1391051.75138379
"275",0
"452",0
"731",12335.9924125071
"794",34081.3198931114
"881",60891.3817694574
"982",6849
"1071",344339.96474454
"1180",7206.26413209461
"1531",131163.7805118
"1991",13702
"2017",0
"2711",9497731.1036571
"3100",27508.5527305973
"4079",167027.654108198
"5022",69005.3560332928
"5065",3684.33811666192
"5502",326670.497215884
"5843",25787.3409988386
"5883",2
"6028",7
"6737",126288.716815933
"7283",0
"7495",44
"8008",77153.7271877739
"8365",28078.8361478012
"8745",0
"8917",13324
"9097",0
"9193",6856
"9348",6451
"9743",465249.543807726
"10315",78232.1193163978
"11012",20220.1368237911
"11287",2179287.47279647
"11322",0
"11365",18703.3376450338
"11949",67763.6814682899
"12258",19344
"12504",454822.529598264
"13186",0
"13772",0
"14194",8206.21990452827
"14820",36065.619314471
"14881",74150.624615532
"15262",6861
"15535",77442.1373512398
"15825",0
"16385",78758.3903345128
"17405",294459.450801382
"17795",6825.93925477508
"17867",0
"18372",0
"19100",4842.77696560521
"19555",5065.37074876859
"21593",101367.943503625
"21633",217108.681171242
"22143",27419
"22176",0
"22394",6852
"22425",0
"22682",145854.727915937
"22700",0
"22788",20556
"22882",72398.6700025753
"22959",0
"23088",4641.09826961061
"23115",1064.13953750328
"23225",253951.623709242
"23273",179166.658336831
"23397",173177.10925136
"23653",6858
"24090",7270.57509241804
"24263",294.975888817065
"24348",177708.977227083
"24747",18063.956297927
"25223",972105.487083977
"25568",6445
"25755",41842.0205259658
"25862",41139.8390822833
"26331",178502.814201659
"26874",46703.983789319
"27456",6852
"27493",6850
"28001",1052611.8963185
"28070",42317.6793775907
"28925",28023.2858591713
"29001",0
"30254",6854
"31785",0
"33168",0
"35371",138159.171082323
"35464",98282.39838468
