"","x"
"176",0.372265568997069
"69",1.94584845755909
"28",504.068499714562
"26",445.467729584283
"18",3.22548622909956
"225",42.8993809227312
"280",15.6881849764121
"223",18.3008921358686
"307",7.55260635703474
"151",12.8348295704876
"180",9.07877414059396
"9",0.631768781818408
"251",0.00399737290781868
"12",1.77507807533011
"208",1.44391886079647
"53",27.9253673074236
"30",4.99983951375663
"152",8.66530016309672
"81",111.685021834365
"4",0.116060608212529
"256",5.61955855698344
"298",132.221119510256
"1",2.11807257067692
"174",0.633285333795598
"191",0.308634939907364
"64",0
"127",38.444667978503
"141",36.0607919322511
"142",0.00139082058414465
"109",0.00218978102189781
"34",0
"237",0
"293",6.11773300648421
"121",3.30296046084765
"92",0.162130596476669
"187",45.3266143368742
"297",0
"262",59.1768419444456
"90",788.096833444777
"306",2.73578527416122
"230",184.309870390771
"97",0.992413663660456
"33",16.5845256476906
"88",0
"269",0.265186941563364
"0",0
"186",1.99737868002524
"82",4.72325443160546
"199",11.2584337660828
"300",56.6964117548132
"93",36.4197817262013
"75",1.97694941689049
"150",3.23681971173968
"11",0
"258",99.3237085055488
"274",103.875048661585
"143",5.84223149868459
"99",0
"66",0.000312695434646654
"281",229.273166331571
"294",0
"264",0.270790967839447
"183",35.0116151036344
"59",40.7695755944645
"98",0.133829991346229
"48",0.0397562867153146
"220",0.105342746549055
"138",0
"106",40
"197",0
"313",0
"265",37
"77",0.0393129039250692
"23",0.640501219015741
"39",0.0195884182409691
"167",0
"232",0.334699482361368
"96",0
"217",0.0055478293100424
"61",0
"125",76
"41",1.84448496934518
"80",4.73146440645658
"40",0.512834259068282
"194",8.71381722839376
"51",0.048951048951049
"291",7.98925332970269
"190",0.000954003407155026
"255",0.00272572402044293
"213",0
"273",11.5570173936312
"72",0.220168914980873
"89",0
"288",8.36282288434283
"233",10.268164045851
"216",0.741477844381507
"70",7.85034891681251
"111",0
"302",0
"83",183.880262978927
"279",2349.60167092414
"7",479.728020111574
"253",123.44548667865
"299",552.352897888154
"108",118.68810188542
"158",130.306280487535
"242",234.986854893032
"94",35.6515428447837
"277",33.8352285871256
"118",0.917301481584633
"116",229.113530404581
"57",468.987181783845
"13",117.630487057058
"305",223.233978859319
"178",11.2945024925408
"304",112.149805340544
"252",973.311290110159
"200",51.6425994872347
"58",134.298359954439
"278",336.995807276542
"234",629.235084541197
"228",328.446863649135
"144",108.64596311195
"47",133.513373570005
"131",5.70188016828171
"316",0.0166552000917326
"52",53.515230209796
"236",2.80412633410377
"309",150.44145654829
"202",288.893514844794
"24",52.3235015879077
"263",214.080234348362
"86",33.2247788688187
"209",3.90796733603152
"173",19.1450307828419
"104",44.0160076359308
"241",75.5615209975219
"130",29.8185132852813
"117",16.2422535670365
"25",202.94184032634
"128",2.63591946859319
"35",31.7534655831051
"10",124.977754934565
"250",193.288950914086
"164",187.279461089331
"189",26.9699216506174
"254",4.40967157156758
"135",184.797854000819
"315",0.166619497758014
"113",244.434830578485
"105",0
"193",6.40089350217269
"162",17.7953900273826
"139",1.70185910473853
"122",24.6220339822947
"270",21.2262370317379
"239",99.8672906792931
"153",0
"65",0.0553804732840566
"114",0.575362516059198
"45",218.223200635402
"31",0
"20",0
"136",34.6452391793703
"308",3.47482085079816
"221",30.8494266645415
"101",7.55547124871231
"149",0.631836637690256
"182",3.95248199486691
"188",1.24843459317681
"37",0.105845358403533
"207",3.03433336425268
"8",0.0437845300177656
"319",32.5027300753363
"210",0.155966784399372
"36",95.0000000000007
"290",1.97063441613737
"154",88
"211",0.175891455955375
"289",0
"271",0
"260",0.000838881797306606
"46",1.16537807807155
"49",0.369691533974969
"243",0
"296",89.3456689976041
"146",0
"147",0
"229",0.0624396727112079
"160",1.36519974249265
"249",2.5207659199046
"159",28.1495717011634
"103",0.139719209546316
"318",2.69715244763617
"63",6.26881743502932
"60",0.0331559917552774
"317",0.166244196915831
"303",0
"222",0.168848811322135
"204",85.3237023094497
"87",0.144209330201062
"248",0.724820193092344
"244",3.29601472439076
"73",0
"205",0
"107",0.00177798709957271
"157",12
"91",0
"286",0
"155",0
"156",0
"123",3
"245",0
"5",0
"14",7
"120",20.4799695836297
"184",20.5390688146691
"310",11.2186763925094
"38",108.890333092737
"132",250.193299948826
"283",41.6500718605429
"79",12.6147804416144
"21",1.69454090296232
"112",93.8788452882337
"78",9.16479435804975
"161",166.751868368092
"50",16.8837356166975
"295",52.0934309550866
"3",121.11913401509
"71",0.122423193452367
"2",7.11776222889835
"284",5.85234735282255
"267",8.45033887133068
"240",0.219426481623014
"16",1.6600587262508
"266",0.236035579858469
"238",3.14799533685213
"134",1.50641739942952
"145",65.5903328460776
"85",0.420216972220952
"6",116.976903457916
"231",9.38431065702964
"314",110.690976454667
"133",2.37109896535048
"268",0
"257",0.0171530888980062
"27",0.00282710238477354
"166",0.236997177280798
"44",0
"219",3.79986995329148
"119",0.0239585156237633
"55",0
"137",0
"218",0
"285",0
"292",0
"54",0
"195",0
"226",0
"163",0
"196",0
"22",0
"198",0
"212",0
"74",0
"169",0
"32",0
"15",0
"43",0
"259",0
"175",0
"76",0
"227",0
"214",0
"129",0
"42",0
"56",0
"287",0
"247",0
"276",0
"235",0
"301",0
"170",0
"215",0
"172",0
"272",0
"171",0
"246",0
"177",0
"148",0
"19",0
"312",0
"185",0
"126",0
"95",0
"165",0
"68",0
"179",0
"282",0
"192",0
"261",0
"203",0
"311",0
"110",0
"17",0
"115",0
"168",0
"62",0
"206",0
