"","x"
"0",32202.1886087741
"1",76961.5823348837
"3",1498.77675297699
"4",178.44551004551
"5",7455.25529747157
"6",14022.5706456824
"9",88241.7411507237
"10",31587.9251220724
"11",98804.8786974425
"12",22192.5500733887
"13",84745.8885832663
"14",63708.062122549
"19",64446.8404095612
"21",38693.6662937486
"22",47015.2545031183
"23",35149.4298217652
"28",125612.177974228
"31",764458.343851497
"32",85688.5329186312
"33",16590.4358095327
"34",48876.3833932903
"36",252842.81906961
"37",85677.6901747691
"38",90587.2457770367
"43",15476.7594984964
"45",68881.1727847758
"47",490129.167076121
"48",456042.790903557
"50",72157.0483827904
"53",65120.8286430291
"55",40077.3934825921
"56",54585.9401641916
"57",110853.135797654
"63",46606.8836893581
"64",50409.5243478357
"65",4438.96118905604
"68",53633.616109686
"71",29943.9786375674
"75",5447.96248971388
"76",69876.7258259558
"77",131319.813773377
"78",74301.01786522
"80",42793.6384607465
"82",63991.9234892543
"83",69321.6961891415
"85",153763.879144704
"87",0
"89",26748.192110826
"90",118600.95726189
"92",620.906169001501
"93",39091.5768331229
"94",19991.5625669425
"95",135024.933047623
"96",12117.7348367443
"97",35540.0533307215
"99",88409.9232837726
"101",141751.77134772
"103",13097.4336825567
"104",68864.7133646789
"105",18440.7451497747
"106",36640.0589100741
"107",55861.7517477632
"108",6256.70057273745
"109",34521.0528242582
"110",104251.2275351
"112",55671.0160114223
"114",69058.8372880392
"116",88843.2668368602
"118",6188.810479518
"120",42466.0259347943
"121",53294.2972241998
"122",22409.3356851998
"123",41193.3110593386
"125",32579.8809699928
"132",235.556665410613
"134",24252.3311344927
"135",89983.8149343801
"139",5042.57153877683
"142",6894.18603579278
"143",10975.155370773
"145",0
"147",46719.7024492917
"150",156682.970177805
"151",17760.9150467051
"153",94860.759440583
"154",1261.69468480612
"155",47895.2633587713
"156",23439.1898006722
"159",57116.9634992359
"160",10908.1896767509
"164",437.525625191801
"166",114406.137883539
"172",134416.875230805
"176",0
"180",145620.459781472
"183",12275.8946231199
"185",46197.9839854371
"187",47425.6482620754
"191",18384.1102950584
"195",6334.98035081923
"196",59524.3136680539
"197",60918.1391058497
"198",132969.963644647
"202",133788.874107015
"203",38485.5649027919
"204",15477.6903502022
"205",43077.9038011444
"206",187535.209691645
"207",307738.996522264
"208",22590.4570762777
"209",51953.0911242321
"211",3382
"212",31891.2957476432
"215",77898.8226331407
"216",3774.41803120236
"218",110051.390075768
"219",74.6944777444778
"220",55217.8122810561
"221",198393.988938702
"222",624773.441620291
"223",932535.65319286
"224",29620.797333357
"225",423963.127620766
"226",696521.844430516
"227",335858.203149282
"228",3382
"229",246752.662003923
"230",461610.000323235
"231",120587.938762669
"233",76948.1036214708
"234",61682.1772712603
"240",86241.6032975595
"241",0
"243",24.4011904761905
"245",124806.699053406
"249",35840.7010146112
"250",44189.6291938456
"252",43904.5501434394
"254",17561.3127898568
"255",77760.772849408
"256",28060.2853928755
"257",52153.0361649934
"258",68257.4210488527
"261",59369.7451413179
"264",9594.96904831772
"266",4127.49229015739
"267",50723.9323404511
"268",49425.3294045566
"270",55126.5367625358
"271",87601.5804936989
"272",494142.196914123
"273",306044.794335456
"274",431062.504928951
"275",337803.090114822
"276",488359.303416058
"277",419167.805328699
"278",3283.1363997114
"279",232123.446635297
"281",0
"282",90634.9219648622
"284",40052.9012572026
"290",0
"291",31471.1794961831
"292",132683.873753199
"296",282194.84932581
"297",8862.6387730435
"299",141678.211825919
"300",6056.28211964145
"303",749.954935804938
"304",115197.503949667
"305",8869.89656013321
"306",14739.2162760621
"308",29123.8991113831
"311",123058.333980931
"317",84605.5340528364
"318",49966.7586252337
"319",24184.8885361063
"325",65348.0940329145
"326",91351.8293527418
"328",18794.9540546039
"336",92242.8837426476
"338",618.263437053143
"339",16310.0779058154
"341",80241.2333996091
"348",19485.3915989155
"349",3924.18212983227
"350",210388.538456439
"351",90846.5188168303
"353",3382
"354",51070.2817916851
"355",30382.2461628287
"356",88.5241734572617
"357",101609.496938066
"358",48256.1740732171
"362",71266.1568467842
"365",67242.2372188656
"368",2880.10714451116
"370",33494.3085600059
"373",46767.5350985097
"374",50382.2333196537
"376",73777.6748337846
"377",102015.676850756
"378",33706.2346600175
"381",12345.5312711154
"382",19935.5449303775
"383",152027.915372289
"384",7984.45069361382
"385",275695.565842286
"386",574759.546848364
"387",411762.774427675
"388",434725.776818825
"390",86487.922579789
"391",299858.711342149
"392",482871.882872968
"393",166920.287572427
"394",11679.4941707003
"401",29742.1317583057
"402",27366.1730244831
"403",72370.162163123
"407",109.220707070707
"408",54859.5991089883
"410",56166.0052374578
"411",75905.7755011922
"415",200280.583948697
"416",17760.9193394312
"417",12635.2714255086
"418",57751.271779828
"419",172388.512540094
"420",47571.877118584
"428",47198.8401330725
"430",42464.6344523303
"431",9746.99302101407
"432",30845.4813481046
"434",64312.9846853959
"437",31091.5071214887
"440",5874.33749209167
"441",83249.4828612206
"443",132592.461345033
"444",19080.1052097513
"445",59840.4792743924
"449",83645.9065369607
"450",40027.5715605359
"453",285.286239316239
"458",20617.6930007599
"459",147132.055651581
"460",88967.0227067598
"461",35179.8408992223
"466",5710.81466515277
"467",76.4097437965085
"470",71870.085911684
"471",13921.9997971669
"473",33097.594188684
"475",10696.2085272502
"476",18590.1754716593
"477",4761.22099284187
"478",7823.39881472298
"481",15393.544240669
"484",101169.347935842
"490",5679.43713414123
"491",11029.2289767046
"494",3388.8630952381
"498",42540.8494661885
"500",54869.2062624773
"503",26647.5688068532
"507",3774.12095891168
"508",102915.469247195
"509",21518.1985109124
"511",0
"514",2133.94716136379
"518",13934.560786236
"520",4449.22971045048
"521",131023.772232451
"522",57629.9952909135
"523",103561.273753332
"524",199800.527121879
"527",2780.94903822827
"528",1506.25081686667
"529",43214.0345807772
"530",64925.8831330912
"531",29056.1939776027
"533",12921.6970762216
"535",47500.4240619494
"540",39255.2866612973
"541",449057.807387775
"542",41692.7924656205
"543",28342.187151949
"546",77255.3337179975
"549",6175.33268858991
"550",6827.75495096801
"557",72282.7121563719
"558",75066.2641196658
"559",86219.7069153906
"562",16092.1896767509
"566",3382
"571",33680.2079212108
"574",88677.1773204923
"579",114929.787598184
"580",265571.585522525
"581",70367.1630032855
"582",11947.1523728537
"583",67744.804474615
"584",29773.291202526
"585",8526.81310684017
"589",8033.65403245934
"590",25786.6731257203
"591",12919.3154815701
"592",41441.1055786614
"597",72855.5089538768
"599",2954.84437609174
"602",40620.2985280084
"606",47134.4095465104
"609",33886.4449417146
"610",93271.370946528
"612",55760.3702808947
"614",66362.6259525625
"615",42119.4528622329
"618",103798.85490962
"621",83698.1180076863
"622",10738.7306399135
"623",17289.5535118277
"626",4458.7250467283
"628",47367.6260983251
"629",236.164918414918
"631",9044.44191562502
"632",99640.9703661345
"638",1487.61542989175
"641",3840.53242927093
"642",1054.35628268361
"643",6434.94894549896
"646",7244.31282353888
"655",0
"656",80985.5649276123
"657",153761.476698659
"658",106681.048639008
"659",51841.5548660773
"661",1613.47488222562
"665",94414.5425435836
"667",39323.0425677227
"670",84988.383370627
"673",12161.4792733749
"675",37844.0182489107
"676",167534.736140973
"681",0
"682",30994.9347448828
"686",330.724469127363
"687",192211.306262349
"688",609359.297466056
"689",29335.3276765187
"691",12.4142246642247
"692",23926.2151295732
"693",427225.798663522
"694",32939.9411050094
"695",32560.528549081
"697",44641.2556884913
"698",79315.7877448616
"700",29632.3329972394
"702",0
"704",23956.0383918815
"709",15224.8683085341
"710",66039.2769668537
"716",54117.5241721591
"719",101099.065692433
"720",0
"724",42277.5865379808
"730",56395.218763083
"732",124285.114059012
"733",1454.17190269406
"734",38539.2854319219
"735",98360.3751526969
"736",107087.626845774
"738",1834.97961621712
"739",0
"740",23613.6995335753
"742",63177.0235775427
"745",43719.3550860905
"746",15776.5449452839
"747",16197.4512541517
"749",13397.1881095567
"751",3564.26408852585
"754",0
"756",2595.4711609469
"757",3963.13858714386
"759",649.835745463687
"764",67815.2056848316
"766",679.255143467644
"769",33191.1554751328
"771",34005.5170444774
"772",103737.839767871
"773",17454.2320769968
"774",0
"779",82210.029903082
"782",60935.8944845276
"784",18856.9691636624
"786",6693.99493305527
"787",40840.7733142114
"790",37397.1177673058
"794",36035.6359669525
"796",75949.1254257187
"797",21317.8176259036
"799",8089.94921112949
"800",46772.278032321
"801",2910.08746528121
"802",4450.30999147462
"804",30486.5998718321
"809",70228.6438852185
"812",65645.1296663556
"814",12613.032313847
"815",32282.8097046937
"818",34322.7345963223
"819",80583.4543460404
"821",127302.544178161
"823",99066.3207851845
"824",54162.7491227249
"826",631.850942358294
"828",17463.3203182444
"831",23186.3014808251
"833",0
"835",105518.220036147
"838",68611.7415016095
"840",51772.0670080451
"841",243922.805350325
"842",571569.811553128
"843",553.107861100252
"844",0
"848",62975.7478033912
"850",16051.2686724468
"852",19782.0821799526
"854",240971.282086109
"856",20387.0530515175
"857",11735.3724644425
"860",66856.2976089723
"861",254775.225929531
"862",922.718238048503
"865",19017.9770317631
"872",42436.7732247573
"874",144200.146426865
"876",220798.554908118
"882",200027.531895059
"887",426648.515662193
"890",301025.256169565
"893",45186.9575421659
"894",186524.017883027
"896",67853.3739487579
"897",0
"898",169107.721320116
"899",82354.7099470928
"900",51257.9601405495
"901",10857.1159584113
"902",114.874827949828
"906",25552.7121068471
"912",74825.5802766803
"913",441.90896815173
"915",20308.8422154767
"920",124603.622948675
"922",184183.315572636
"925",114867.487051151
"926",40195.8730954362
"928",522.999328814459
"931",38096.1330758693
"934",86611.6744396799
"935",21989.5579955605
"941",24355.3146223158
"942",40852.1358050468
"943",11395.9890032817
"945",21892.6390158994
"947",164979.000068845
"948",66421.985473567
"951",17988.948558188
"952",119399.645116151
"957",53344.7654646819
"960",130980.481321981
"961",5391.69276558849
"962",21850.764048486
"966",1967.35391224273
"971",0
