"","x"
"0",169
"1",24
"2",143
"3",42
"4",28
"5",36
"6",32
"7",42
"8",42
"9",26
"10",42
"11",30
"12",36
"13",42
"14",22
"15",28
"16",52
"17",84
"18",42
"19",142
"20",40
"21",30
"22",24
"23",38
"24",40
"25",92
"26",46
"27",32
"28",42
"29",52
"30",40
"31",52
"32",48
"33",40
"34",28
"35",44
"36",36
"37",42
"38",26
"39",46
"40",46
"41",46
"42",42
"43",36
"44",42
"45",42
"46",32
"47",46
"48",52
"49",48
"50",28
"51",42
"52",40
"53",24
"54",28
"55",48
"56",192
"57",42
"58",48
"59",36
"60",36
"61",126
"62",48
"63",24
"64",46
"65",32
"66",28
"67",84
"68",28
"69",32
"70",38
"71",28
"72",32
"73",32
"74",42
"75",36
"76",42
"77",40
"78",36
"79",24
"80",46
"81",42
"82",36
"83",42
"84",42
"85",40
"86",48
"87",44
"88",30
"89",180
"90",40
"91",42
"92",40
"93",42
"94",36
"95",46
"96",26
"97",46
"98",230
"99",40
"100",28
"101",42
"102",42
"103",24
"104",80
"105",40
"106",46
"107",124
"108",44
"109",28
"110",28
"111",42
"112",46
"113",46
"114",24
"115",40
"116",28
"117",40
"118",128
"119",66
"120",28
"121",40
"122",24
"123",24
"124",46
"125",30
"126",40
"127",28
"128",36
"129",30
"130",38
"131",42
"132",44
"133",36
"134",52
"135",36
"136",210
"137",44
"138",82
"139",42
"140",32
"141",44
"142",44
"143",22
"144",46
"145",28
"146",46
"147",38
"148",38
"149",32
"150",24
"151",26
"152",60
"153",42
"154",42
"155",40
"156",36
"157",88
"158",32
"159",40
"160",44
"161",46
"162",42
"163",42
"164",26
"165",36
"166",42
"167",44
"168",192
"169",40
"170",32
"171",36
"172",36
"173",40
"174",36
"175",46
"176",28
"177",36
"178",28
"179",12
"180",52
"181",46
"182",126
"183",46
"184",86
"185",22
"186",30
"187",28
"188",42
"189",22
"190",44
"191",32
"192",36
"193",22
"194",94
"195",40
"196",36
"197",40
"198",40
"199",42
"200",28
"201",32
"202",40
"203",24
"204",44
"205",40
"206",78
"207",32
"208",82
"209",52
"210",42
"211",46
"212",44
"213",26
"214",42
"215",48
"216",52
"217",42
"218",48
"219",28
"220",32
"221",46
"222",36
"223",48
"224",42
"225",40
"226",38
"227",32
"228",42
"229",42
"230",40
"231",40
"232",36
"233",40
"234",32
"235",40
"236",28
"237",52
"238",12
"239",28
"240",52
"241",28
"242",40
"243",36
"244",36
"245",52
"246",42
"247",52
"248",36
"249",46
"250",42
"251",52
"252",28
"253",26
"254",40
"255",42
"256",36
"257",36
"258",24
"259",38
"260",32
"261",12
"262",30
"263",42
"264",40
"265",36
"266",52
"267",40
"268",42
"269",30
"270",24
"271",46
"272",22
"273",42
"274",48
"275",42
"276",44
"277",42
"278",22
"279",42
"280",44
"281",32
"282",24
"283",52
"284",28
"285",26
"286",32
"287",52
"288",24
"289",42
"290",24
"291",38
"292",52
"293",40
"294",38
"295",40
"296",26
"297",114
"298",138
"299",28
"300",40
"301",40
"302",42
"303",40
"304",46
"305",36
"306",28
"307",52
"308",38
"309",132
"310",52
"311",42
"312",40
"313",42
"314",40
"315",32
"316",24
"317",28
"318",152
"319",40
"320",28
"321",12
"322",38
"323",28
"324",30
"325",42
"326",46
"327",24
"328",12
"329",12
"330",48
"331",46
"332",26
"333",48
"334",30
"335",42
"336",32
"337",48
"338",42
"339",32
"340",128
"341",40
"342",42
"343",36
"344",36
"345",24
"346",26
"347",46
"348",42
"349",42
"350",44
"351",52
"352",38
"353",48
"354",38
"355",32
"356",52
"357",28
"358",52
"359",124
"360",42
"361",26
"362",42
"363",42
"364",36
"365",42
"366",48
"367",46
"368",40
"369",22
"370",12
"371",44
"372",42
"373",48
"374",40
"375",36
"376",80
"377",52
"378",40
"379",36
"380",32
"381",36
"382",96
"383",36
"384",46
"385",22
"386",42
"387",36
"388",62
"389",40
"390",40
"391",26
"392",42
"393",46
"394",40
"395",52
"396",42
"397",24
"398",28
"399",36
"400",40
"401",28
"402",46
"403",36
"404",40
"405",160
"406",32
"407",86
"408",78
"409",38
"410",42
"411",36
"412",44
"413",44
"414",28
"415",44
"416",52
"417",28
"418",22
"419",32
"420",38
"421",40
"422",48
"423",24
"424",32
"425",24
"426",42
"427",42
"428",40
"429",116
"430",78
"431",52
"432",42
"433",188
"434",46
"435",36
"436",48
"437",36
"438",46
"439",48
"440",46
"441",40
"442",26
"443",36
"444",36
"445",28
"446",40
"447",46
"448",30
"449",28
