"","x"
"0",1
"1",1
"3",1
"5",1
"7",5
"9",5
"10",4
"12",4
"13",4
"14",5
"16",5
"17",4
"18",1
"19",5
"20",3
"21",3
"22",3
"24",6
"25",1
"27",6
"28",6
"29",7
"30",2
"31",2
"32",1
"35",6
"36",3
"37",1
"39",3
"41",3
"42",6
"43",2
"45",2
"46",2
"47",2
"48",2
"50",2
"52",1
"55",2
"56",2
"57",1
"58",1
"59",1
"60",1
"61",2
"65",1
"68",2
"70",1
"71",1
"74",1
"75",1
"77",5
"78",5
"79",5
"80",5
"81",1
"84",4
"85",15
"86",15
"87",15
"88",15
"89",4
"90",15
"91",15
"92",15
"93",4
"94",15
"95",5
"96",1
"97",15
"98",3
"99",3
"100",15
"102",4
"103",1
"104",1
"105",15
"106",15
"108",15
"109",1
"111",15
"113",3
"117",15
"118",1
"121",1
"122",1
"124",1
"127",4
"128",4
"131",1
"132",1
"133",4
"134",1
"136",4
"137",7
"138",3
"139",3
"140",3
"142",7
"144",7
"145",2
"147",2
"148",7
"149",7
"150",7
"151",7
"153",1
"154",7
"155",1
"158",7
"159",7
"161",7
"162",7
"163",7
"164",1
"165",7
"167",1
"168",1
"171",1
"173",1
"174",1
"177",1
"179",1
"181",1
"183",1
"184",2
"185",2
"187",1
"189",4
"190",4
"191",2
"192",4
"193",2
"194",4
"198",1
"200",3
"201",3
"202",3
"203",4
"204",4
"205",4
"207",4
"208",1
"210",4
"211",1
"213",3
"214",3
"215",7
"216",4
"219",4
"220",15
"221",15
"222",15
"224",15
"225",15
"226",15
"227",15
"228",15
"229",15
"230",15
"231",15
"232",15
"233",15
"234",15
"235",15
"236",2
"238",2
"239",9
"242",9
"244",1
"245",1
"246",9
"247",9
"248",9
"249",9
"250",9
"251",9
"252",9
"253",1
"255",1
"257",2
"259",1
"4",2
"2",1
"6",1
"8",5
"11",4
"15",1
"23",3
"38",6
"26",2
"40",1
"34",3
"33",1
"44",2
"49",2
"54",2
"51",2
"53",1
"62",1
"73",2
"63",1
"66",1
"69",2
"67",1
"72",1
"64",1
"76",1
"116",5
"82",1
"115",4
"83",15
"110",1
"101",3
"107",1
"112",1
"114",1
"119",1
"123",1
"120",1
"125",1
"129",4
"126",1
"130",1
"135",1
"143",7
"141",3
"146",2
"152",1
"157",7
"156",1
"160",1
"166",1
"169",1
"172",1
"170",1
"175",1
"176",1
"180",1
"178",1
"182",1
"186",2
"188",1
"196",4
"195",2
"197",1
"199",3
"206",4
"209",1
"217",4
"212",1
"218",3
"223",15
"237",2
"240",9
"241",1
"243",1
"254",1
"258",1
"256",1
