"","x"
"0",3
"1",8
"2",8
"4",1
"5",7
"9",14
"10",14
"11",2
"12",8
"13",8
"14",8
"16",5
"17",5
"18",5
"19",5
"20",8
"21",12
"22",3
"23",8
"25",3
"26",8
"27",7
"28",7
"29",7
"30",7
"31",6
"33",4
"34",6
"35",6
"36",7
"37",4
"38",4
"39",1
"41",6
"43",6
"44",1
"45",6
"46",6
"48",6
"49",6
"50",7
"51",7
"52",7
"53",12
"54",2
"55",9
"57",4
"59",6
"60",3
"61",17
"63",1
"65",12
"66",48
"67",17
"68",48
"69",48
"70",7
"71",4
"72",7
"73",1
"75",1
"76",4
"77",17
"78",2
"79",12
"80",7
"82",1
"87",12
"91",48
"92",17
"93",2
"94",1
"95",2
"98",3
"99",3
"100",1
"102",1
"103",2
"104",48
"105",6
"107",1
"108",3
"110",17
"111",17
"112",1
"114",17
"115",17
"116",7
"117",7
"118",4
"119",3
"121",2
"123",12
"124",48
"125",48
"126",48
"127",48
"128",12
"129",48
"130",48
"131",48
"132",12
"133",48
"134",17
"135",1
"136",2
"137",48
"138",6
"140",6
"141",48
"143",6
"144",12
"145",2
"146",4
"147",48
"148",48
"149",2
"150",48
"153",48
"154",4
"155",1
"156",6
"157",1
"158",12
"159",17
"160",48
"161",1
"162",6
"163",4
"164",4
"165",1
"166",3
"169",1
"170",1
"173",1
"174",7
"175",2
"176",8
"177",8
"178",18
"179",4
"180",48
"181",12
"182",18
"183",18
"184",18
"186",12
"187",4
"189",18
"191",1
"192",18
"194",1
"195",7
"196",3
"198",3
"199",3
"201",7
"203",7
"204",2
"206",2
"207",7
"208",7
"209",7
"210",7
"212",4
"214",7
"215",48
"217",4
"219",48
"220",48
"221",48
"225",48
"226",17
"227",48
"228",48
"231",4
"232",2
"233",48
"234",1
"235",7
"236",2
"238",1
"239",1
"243",1
"244",6
"246",1
"248",2
"249",3
"250",3
"252",1
"254",1
"256",5
"258",2
"259",17
"260",17
"262",6
"263",8
"264",4
"265",3
"266",1
"267",1
"268",4
"269",48
"270",48
"271",3
"272",48
"274",1
"275",3
"276",48
"277",6
"279",1
"280",48
"282",12
"283",1
"285",4
"286",2
"287",1
"288",2
"289",1
"290",2
"291",1
"292",48
"293",48
"295",48
"296",48
"297",2
"298",9
"299",9
"300",9
"301",9
"302",9
"303",7
"305",25
"307",4
"309",9
"311",1
"313",6
"315",15
"316",9
"317",2
"318",9
"319",6
"320",9
"322",25
"323",25
"324",25
"325",25
"327",25
"328",25
"329",25
"330",25
"331",25
"332",25
"333",25
"334",25
"335",25
"336",25
"337",25
"338",18
"341",18
"342",16
"344",1
"345",16
"346",1
"349",16
"350",16
"351",16
"352",16
"353",16
"354",16
"355",16
"356",7
"357",4
"358",16
"359",16
"361",4
"362",2
"363",12
"364",7
"365",7
"366",14
"367",12
"368",12
"369",7
"370",7
"372",1
"373",2
"374",3
"375",8
"376",14
"377",1
"379",12
"380",12
"381",12
"382",12
"383",25
"384",1
"385",3
"386",9
"387",12
"388",12
"389",9
"390",5
"391",4
"392",48
"393",12
"394",48
"395",12
"397",2
"398",12
"399",2
"400",18
"401",12
"402",6
"403",12
"405",12
"406",5
"407",16
"408",4
"409",2
"411",5
"412",2
"413",16
"414",1
"415",8
"416",1
"417",5
"418",9
"419",1
"420",16
"421",4
"422",8
"423",1
"425",18
"427",4
"428",3
"429",5
"430",1
"431",12
"432",16
"435",8
"437",8
"438",1
"439",1
"440",4
"441",18
"443",18
"444",5
"446",6
"447",3
"448",1
"449",7
"452",2
"453",18
"457",6
"458",25
"460",16
"461",2
"462",6
"463",17
"464",18
"465",5
"466",9
"467",2
"468",12
"469",12
"470",9
"471",1
"472",5
"473",1
"475",18
"476",48
"478",3
"479",4
"481",6
"482",1
"484",5
"485",12
"486",12
"487",3
"488",12
"492",5
"494",1
"496",1
"497",3
"498",12
"499",1
"500",9
"502",5
"504",14
"505",48
"506",48
"508",1
"509",14
"510",9
"512",1
"513",14
"514",25
"515",48
"516",9
"517",6
"519",25
"521",9
"522",9
"524",9
"525",9
"526",1
"527",14
"528",1
"529",6
"530",25
"531",2
"532",4
"533",49
"536",4
"537",17
"538",2
"539",2
"540",6
"541",1
"542",3
"543",5
"544",2
"546",11
"547",25
"549",9
"550",18
"551",1
"552",9
"553",7
"554",7
"555",7
"556",9
"557",6
"558",9
"559",1
"561",9
"562",9
"563",18
"564",1
"565",6
"567",14
"569",6
"571",6
"572",5
"574",2
"576",1
"577",9
"579",1
"580",5
"581",3
"582",28
"583",25
"584",25
"585",3
"586",1
"587",1
"588",4
"589",2
"590",7
"591",4
"593",9
"594",14
"595",9
"598",4
"601",14
"602",6
"603",18
"604",4
"605",1
"606",7
"607",18
"609",17
"610",2
"613",9
"614",1
"615",14
"616",3
"617",4
"621",5
"623",48
"624",3
"626",2
"627",1
"628",48
"629",12
"630",14
"631",2
"632",9
"633",48
"634",14
"635",9
"636",1
"638",3
"641",1
"643",4
"644",2
"545",4
"6",8
"3",1
"8",7
"608",14
"620",2
"434",8
"24",5
"197",12
"433",3
"396",7
"42",6
"185",4
"32",1
"47",1
"642",6
"40",1
"477",2
"247",9
"378",4
"64",6
"261",17
"597",1
"74",12
"122",48
"88",7
"81",5
"139",1
"294",1
"218",4
"89",2
"90",1
"592",2
"83",1
"86",3
"101",1
"106",1
"424",3
"273",1
"278",3
"84",2
"152",1
"223",6
"284",2
"281",1
"151",1
"578",1
"426",4
"167",1
"455",3
"171",1
"172",1
"456",1
"450",7
"193",2
"340",18
"222",4
"190",1
"622",1
"202",7
"200",3
"205",2
"211",4
"96",2
"97",1
"312",2
"237",1
"240",1
"245",1
"314",6
"242",1
"56",2
"321",3
"251",1
"255",1
"253",5
"257",2
"109",1
"493",1
"85",1
"216",1
"213",1
"113",1
"229",2
"230",1
"142",1
"451",1
"548",9
"326",25
"308",4
"310",1
"343",16
"347",1
"348",1
"410",12
"619",1
"575",2
"404",1
"339",1
"371",3
"442",5
"7",2
"445",1
"241",1
"596",9
"507",1
"570",1
"15",1
"454",1
"490",1
"224",1
"120",1
"459",2
"168",1
"480",1
"489",3
"483",1
"501",5
"495",1
"474",1
"535",1
"491",1
"511",1
"503",6
"612",9
"523",1
"520",1
"599",2
"436",2
"58",2
"566",1
"360",2
"573",1
"618",1
"560",1
"306",1
"518",1
"611",3
"568",1
"534",1
"304",1
"600",1
"640",1
"625",2
"639",1
"188",2
"637",1
"62",1
