"","x"
"517",18
"1024",65
"2059",2
"2429",24
"5036",80
"5088",3
"5873",57
"6752",13
"8752",5
"9553",52
"10763",13
"13841",1
"15231",16
"16100",21
"19573",12
"26797",3
"28080",7
"28755",1
"43824",1
"48423",1
"61005",28
"103527",8
"139888",1
"156534",2
"180201",35
"181664",1
"183004",1
"224411",24
"282577",1
"319813",11
"526519",1
"1",2
"5",14
"551",1
"571",3
"642",12
"678",3
"698",3
"9314",2
"33897",1
"521325",4
"608725",1
"406981",1
"234134",3
"459129",1
"114459",1
"335490",1
"282586",2
"106235",5
"90518",6
"37101",5
"51027",5
"27093",3
"10992",5
"128864",2
"626",5
"15487",2
"6253",5
"281546",2
"137116",5
"590",2
"2",2
"3387",1
"3396",2
"84114",1
"3438",2
"132967",2
"132973",1
"132981",1
"132987",1
"743",3
"1825",1
"1886",34
"1999",29
"2529",24
"6656",13
"11414",7
"16009",11
"18690",77
"20221",12
"20395",48
"20444",9
"20599",18
"20842",5
"21018",7
"21049",28
"24804",31
"28594",5
"30077",3
"36467",3
"49498",3
"63140",10
"64005",18
"65390",7
"72470",36
"73918",14
"78452",6
"87033",4
"91005",13
"91331",1
"91922",8
"92302",23
"93053",130
"93150",33
"93627",1
"94042",8
"95741",7
"96277",6
"97158",46
"105767",12
"117236",2
"129584",24
"132238",3
"145200",2
"167993",3
"180244",4
"181469",2
"182276",2
"191350",1
"212060",1
"216834",1
"228896",7
"234120",1
"240877",2
"242761",4
"246413",12
"249664",3
"252038",4
"257303",2
"262741",1
"262810",2
"353177",1
"360361",2
"374142",2
"374226",1
"374304",2
"394361",2
"517233",1
"71186",8
"104642",2
"353898",1
"594787",1
"530605",1
"518758",3
"516180",3
"355876",3
"472590",1
"682",1
"580",2
"611",2
"660",2
"665",2
"29799",1
"29801",1
"29803",1
"29805",1
"29808",3
"33507",1
"37362",1
"287220",1
"287229",1
"535890",1
"535",1
"539",3
"553",3
"557",1
"566",1
"575",11
"584",11
"601",2
"609",1
"620",4
"634",2
"654",11
"677",2
"685",1
"700",4
"70403",2
"22731",42
"36314",11
"103939",1
"280334",3
"280343",1
"369602",3
"325393",1
"552491",1
"585",3
"91042",17
"79758",1
"36370",2
"29686",1
"286538",1
"19713",2
"37034",1
"554",3
"36676",4
"36680",1
"40",21
"455",80
"794",22
"990",7
"1071",21
"1203",11
"1603",11
"1970",45
"2890",8
"3406",17
"3797",63
"4891",10
"5136",59
"5502",44
"7142",26
"7682",140
"8745",10
"9378",13
"9430",21
"9813",14
"11304",26
"14785",5
"15534",25
"17795",8
"18553",6
"19198",12
"21523",15
"22409",13
"22823",4
"22946",10
"24092",28
"24390",4
"24542",3
"24836",5
"25768",20
"26645",3
"27144",12
"27388",8
"27403",2
"27559",1
"27667",5
"28115",17
"28492",3
"28925",12
"30953",10
"35295",60
"35404",3
"35561",17
"38703",5
"43884",3
"44722",8
"45246",2
"49956",10
"58255",7
"59676",29
"60699",2
"60995",2
"72773",10
"76608",7
"88014",40
"90311",4
"91849",6
"101170",17
"103299",13
"110076",4
"125490",1
"129865",5
"129878",3
"129900",31
"129916",2
"130648",7
"138162",2
"140495",16
"169655",17
"176058",4
"183730",9
"191052",7
"193934",27
"197503",4
"202691",18
"205329",13
"206938",10
"218319",5
"232383",2
"258222",2
"258728",1
"261796",12
"267323",6
"273647",8
"279178",12
"297351",1
"305902",3
"318233",1
"384184",1
"434142",1
"484656",9
"619063",6
"645203",17
"651197",4
"21884",11
"205656",1
"260355",14
"37364",19
"204152",1
"7977",12
"504784",6
"592717",2
"211209",8
"434728",3
"129732",9
"268660",2
"49162",5
"173194",6
"207505",3
"138428",1
"1613",4
"5201",1
"10599",31
"23245",11
"157580",7
"3520",3
"74995",1
"133817",3
"367991",1
"368928",7
"28671",3
"67211",4
"442001",6
"5192",2
"512904",1
"399016",2
"141613",3
"823",48
"3776",7
"4936",100
"9400",11
"21590",23
"24555",6
"25134",4
"26689",5
"28149",13
"40157",10
"51634",1
"82445",22
"118747",5
"131874",1
"135391",11
"144926",1
"162799",1
"193931",4
"258304",3
"290574",1
"485520",1
"485522",1
"485524",1
"505166",1
"132791",2
"72",39
"495",2
"702",5
"963",16
"1919",1
"3547",14
"5564",23
"6237",1
"7479",1
"8193",2
"8446",3
"8476",25
"9059",8
"10264",21
"13245",1
"18209",5
"21894",6
"24944",1
"25204",3
"28084",13
"36049",3
"36116",3
"36190",1
"36298",1
"36318",1
"36363",1
"36411",5
"36434",9
"36556",1
"36649",2
"40101",1
"46532",1
"57530",17
"83417",1
"108770",1
"160772",1
"182780",2
"301448",1
"386504",1
"391305",1
"1709",14
"14460",14
"6476",60
"5385",1
"11",2
"1975",5
"3509",8
"5104",1
"11873",3
"24897",5
"30227",3
"13",2
"78",12
"91",1
"124",6
"165",9
"173",2
"242",62
"291",10
"707",8
"731",6
"810",19
"834",3
"932",6
"957",4
"1093",7
"1172",30
"1249",9
"1455",39
"1529",4
"1774",1
"1829",2
"1934",29
"2108",4
"2821",2
"3010",10
"3100",18
"3188",3
"3216",1
"3222",21
"3488",14
"4304",1
"4386",10
"4972",3
"5049",4
"5341",13
"5572",1
"5716",8
"5787",1
"5921",1
"5937",7
"6045",2
"6060",2
"6095",16
"6158",29
"6290",6
"6330",9
"6692",2
"6743",4
"6805",2
"6899",19
"7029",4
"7304",1
"7635",4
"7701",15
"7827",5
"7965",1
"8013",1
"8074",3
"8170",93
"8218",6
"8533",4
"8643",2
"8782",3
"8833",1
"8850",8
"8917",7
"9011",1
"9072",4
"9143",6
"9162",6
"9219",2
"9413",1
"9845",3
"9877",6
"9888",2
"10006",6
"10037",14
"10243",7
"10370",5
"10489",1
"10726",2
"11109",4
"11192",19
"11715",6
"11823",8
"11978",15
"12955",5
"13692",3
"13738",17
"14353",3
"14623",2
"15610",6
"15913",6
"16116",10
"16439",7
"17110",2
"17216",8
"17436",4
"17750",8
"17822",26
"18303",25
"18466",10
"18481",3
"18813",13
"19537",1
"20056",3
"20191",11
