"","x"
"517",16
"1024",33
"2059",2
"2429",8
"5036",36
"5088",3
"5873",26
"6752",7
"8752",3
"9553",26
"10763",12
"13841",1
"15231",12
"16100",10
"19573",10
"26797",2
"28080",2
"28755",1
"43824",1
"48423",1
"61005",16
"103527",6
"139888",1
"156534",1
"180201",16
"181664",1
"183004",1
"224411",12
"282577",1
"319813",9
"526519",1
"1",1
"5",4
"551",1
"571",2
"642",9
"678",1
"698",2
"9314",2
"33897",1
"521325",3
"608725",1
"459129",1
"29649",1
"382726",1
"2014",2
"95969",3
"132972",1
"132978",1
"132982",2
"443577",1
"1291",2
"1864",1
"1970",21
"2287",17
"6444",3
"9532",6
"11897",9
"16010",2
"19989",9
"20328",49
"20426",14
"20509",19
"20796",7
"20889",1
"21021",4
"23130",13
"25746",3
"29293",5
"30191",21
"45639",1
"57083",4
"63616",4
"64042",2
"66862",3
"72550",4
"73921",2
"86337",4
"90490",5
"91307",1
"91778",2
"92031",8
"92719",6
"93149",2
"93167",5
"93849",3
"95497",1
"96057",5
"96984",5
"105021",2
"117172",6
"125448",3
"130073",1
"132499",1
"165476",2
"174805",3
"181462",5
"182271",3
"190636",2
"196365",7
"214933",2
"225151",2
"230927",2
"235623",3
"241326",1
"243726",1
"248768",1
"250023",1
"256836",1
"262718",1
"262769",1
"268038",7
"354876",2
"374132",2
"374216",2
"374250",4
"374336",2
"409115",1
"519228",2
"530605",1
"580",2
"616",2
"661",1
"677",2
"29800",1
"29802",1
"29804",1
"29807",1
"33506",1
"37361",1
"284987",1
"287223",2
"295227",1
"538",3
"541",1
"555",1
"559",3
"587",1
"606",5
"619",1
"625",1
"630",1
"653",1
"656",1
"675",5
"680",2
"552490",1
"616698",1
"301618",2
"234132",2
"234135",2
"434728",3
"5192",2
"141613",2
"823",21
"3776",1
"4936",42
"7682",48
"9400",2
"21590",13
"24555",3
"25134",1
"26689",1
"28149",4
"30953",2
"40157",7
"51634",1
"82445",12
"118747",1
"130648",1
"131874",1
"135391",5
"144926",1
"162799",1
"193931",2
"258304",2
"290574",1
"485520",1
"485522",1
"485524",1
"72",20
"495",2
"702",2
"963",10
"1919",1
"3547",7
"5564",11
"6237",1
"7479",1
"8193",1
"8446",1
"8476",10
"9059",6
"10264",10
"13245",1
"18209",2
"21894",3
"24944",1
"25204",1
"28084",9
"36049",3
"36116",2
"36190",1
"36298",1
"36318",1
"36363",1
"36411",4
"36434",4
"36556",1
"36649",1
"40101",1
"46532",1
"57530",11
"83417",1
"88014",19
"108770",1
"160772",1
"182780",2
"301448",1
"386504",1
"391305",1
"564405",1
"558480",1
"445560",1
"214741",1
"15",8
"78",8
"140",1
"249",4
"274",1
"291",4
"306",10
"376",2
"470",12
"714",1
"760",4
"790",3
"811",22
"875",6
"905",5
"1155",3
"1455",13
"1709",8
"1993",5
"2057",4
"2252",5
"2849",1
"2890",5
"3220",12
"3406",7
"3488",2
"3670",9
"3935",1
"4228",3
"4396",3
"4921",10
"5094",12
"5418",2
"5510",3
"5573",5
"5768",11
"5962",10
"6035",4
"6158",13
"6230",3
"6663",5
"6762",5
"6771",3
"7115",2
"7371",20
"7735",2
"7794",10
"7858",2
"7977",8
"8036",5
"8170",23
"8706",31
"8792",2
"8850",3
"8879",12
"8902",1
"9074",17
"9136",3
"9378",2
"9669",2
"9813",8
"9885",4
"11176",2
"11274",23
"11707",7
"11970",3
"12862",3
"13040",23
"13093",1
"13659",4
"14253",1
"14785",4
"14844",2
"15007",1
"15310",5
"15419",1
"15534",9
"16301",4
"16439",5
"16475",2
"17231",3
"17373",5
"17413",4
"17822",12
"19168",3
"19198",4
"19253",5
"19410",10
"19577",2
"19763",2
"22088",5
"22242",1
"22409",4
"22731",18
"22750",5
"22866",13
"22909",4
"23044",5
"23250",12
"23391",1
"23612",3
"23804",16
"24092",12
"24284",8
"24413",3
"24709",6
"25035",7
"25689",4
"25796",12
"26001",15
"26714",36
"27368",3
"27414",25
"27416",14
"27432",9
"27533",2
"27977",19
"28110",27
"28798",2
"29528",7
"31340",14
"35295",18
"35383",9
"35491",2
"36314",7
"36732",8
"36803",1
"36921",1
"37307",13
"38038",1
"38223",4
"38425",3
"39184",8
"40791",3
"42715",3
"43849",3
"43940",2
"43994",3
"44072",1
"44993",3
"47294",1
"47425",7
"47637",7
"47706",6
"47737",3
"48611",2
"51676",1
"57622",1
"59041",3
"59756",4
"60797",1
"61002",4
"63192",2
"66988",5
"69180",4
"70759",1
"73396",5
"73656",3
"76840",10
"84747",4
"84994",4
"87763",2
"89667",1
"91849",3
"100827",3
"102609",8
"103507",2
"108114",27
"122248",1
"125129",7
"126081",4
"127747",17
"129821",4
"129900",9
"130137",2
"133392",2
"136882",3
"139709",2
"153221",1
"153227",1
"154880",3
"157072",4
"165378",1
"167010",4
"169655",10
"171482",2
"172021",3
"175210",2
"177539",6
"184962",7
"190871",1
"193399",7
"193427",3
"193433",5
"197344",8
"198456",2
"201690",3
"202698",8
"202973",5
"203642",3
"205061",4
"206917",15
"207486",7
"211209",4
"221318",1
"226063",10
"251173",2
"260639",2
"263081",9
"267323",2
"273311",1
"274827",6
"279148",3
"280055",1
"281492",3
"281507",1
"281518",1
"281541",1
"281546",1
"281548",1
"281571",4
"281576",1
"281588",2
"281600",1
"281614",2
"300636",1
"322322",3
"326699",2
"376393",1
"421229",3
"453576",1
"468928",3
"495725",6
"521551",3
"553060",1
"601770",1
"636654",2
"636658",1
"651119",4
"651150",1
"651231",2
"655500",19
"656376",9
"605096",2
"213368",1
"102801",6
"10173",1
"240",1
"18967",1
"70477",1
"322128",2
"68",1
"242",25
"275",4
"452",1
"731",4
"794",9
"881",4
"982",2
"1071",9
"1180",6
"1531",11
"1991",6
"2017",2
"2711",50
"3100",7
"4079",12
"5022",4
"5065",10
"5502",15
"5843",8
"5883",3
"6028",3
"6737",6
"7283",1
"7495",3
"8008",6
"8365",5
"8745",4
"8917",4
"9097",2
"9193",5
"9348",4
"9743",6
"10315",12
"11012",2
"11287",36
"11322",2
"11365",4
"11949",12
"12258",3
"12504",4
"13186",2
"13772",1
"14194",2
"14820",4
"14881",7
"15262",2
"15535",15
"15825",2
"16385",6
"17405",11
"17795",4
"17867",2
"18372",2
"19100",2
"19555",2
"21593",3
"21633",12
"22143",6
"22176",1
"22394",2
"22425",1
"22682",10
"22700",2
"22788",3
"22882",5
"22959",3
"23088",5
"23115",2
"23225",8
"23273",7
"23397",6
"23653",7
"24090",4
"24263",3
"24348",10
"24747",5
"25223",23
"25568",3
"25755",8
"25862",9
"26331",14
"26874",6
"27456",3
"27493",2
"28001",31
"28070",6
"28925",8
"29001",1
"30254",4
"31785",1
"33168",1
"35371",13
"35464",14
"35599",5
"36952",2
"37202",14
"37329",1
"37364",4
"38199",5
"38406",5
"38785",2
"43949",3
"44032",16
"44296",3
"44525",3
"47611",7
"47628",4
"47675",2
"47701",5
"47704",7
"47714",9
"47719",2
"47742",9
"47756",6
"47779",4
"49531",2
"51608",4
"52181",2
"52662",4
"58389",2
"59499",1
"62352",3
"63620",1
"70323",7
"72987",2
"76608",4
"77346",3
"84481",2
"87030",3
"87206",10
"91089",3
"97957",3
"103299",6
"116987",9
"123645",1
"126806",8
"126912",15
"127234",3
"129872",4
"131082",1
"134509",3
"138466",4
"140495",4
"142447",1
"146303",4
"153218",3
"158710",11
"166999",3
"175479",1
"176011",1
"181377",1
"181739",6
"184030",2
"185244",2
"191052",5
"193416",5
"193430",6
"193436",3
"193467",6
"198448",3
"202659",8
"202691",9
"205144",2
"206885",3
"206938",6
"219320",2
"224234",1
"227163",3
"227174",3
"232688",4
"254466",10
"260635",2
"264746",7
"264749",2
"267140",2
"273647",4
"278951",1
"279317",2
"305318",2
"383416",2
"424944",1
"424946",1
"424950",1
"424955",1
"476366",1
"601303",6
"645203",9
"651129",9
"655585",5
"655772",3
"656424",4
"545969",1
"415888",4
"390803",1
"440655",1
"488561",5
"313043",1
"310",1
"847",4
"953",1
"1605",3
"1936",7
"2114",1
"3081",3
"3173",2
"3592",1
"3836",7
"5762",2
"5926",10
"5967",1
"6225",2
"6300",7
"6690",5
"7476",2
"7791",12
"7974",1
"8459",16
"8505",3
"9063",2
"9178",1
"11432",1
"12016",6
"12612",5
"15433",2
"15564",2
"16660",1
"19170",15
"19590",1
"22714",7
"22737",21
"22830",1
"22945",2
"23098",7
"23199",1
"23775",2
"23831",1
"24278",8
"26623",3
"27694",1
"28115",9
"31572",1
"35885",1
"37242",5
"43193",2
"44556",2
"46197",2
"47625",2
"47645",3
"47685",3
"47716",16
"47753",4
"49830",1
"49978",2
"52176",1
"54681",1
"58153",5
"59759",1
"63134",10
"69166",2
"70234",1
"73271",8
"76073",1
"84776",3
"85007",1
"88006",3
"88016",1
"126840",2
"127074",1
"127320",2
"130079",3
"139592",2
"139606",1
"139621",1
"139633",2
"139660",1
"139669",1
"139685",1
"139690",1
"139718",3
"139724",1
"139727",3
"139740",1
"139746",1
"139752",1
"139762",1
"139776",1
"139785",1
"139792",1
"139797",1
"139816",1
"139824",1
"139832",1
"139838",1
"139846",1
"139853",1
"139871",1
"139881",1
"139892",1
"139905",1
"139914",1
"139920",1
"139950",1
"139966",1
"139988",1
"166978",11
"167383",1
"193401",8
"212975",2
"258693",2
"285543",1
"300692",1
"300694",1
"300697",1
"300699",1
"300701",1
"300703",1
"300705",1
"300708",1
"300710",1
"300712",1
"300714",1
"300717",1
"300719",1
"300722",1
"300725",1
"300728",1
"300731",1
"300735",1
"300737",1
"300740",1
"300744",1
"300746",1
"300748",1
"300753",1
"300755",1
"300757",1
"300759",1
"300762",1
"440664",1
"448954",1
"139715",1
"154",15
"210",13
"404",5
"707",4
"796",2
"801",1
"859",5
"1177",10
"1359",2
"1702",3
"2063",2
"2119",6
"2821",1
"3047",1
"3194",2
"3222",7
"3686",10
"3911",5
"4797",2
"5480",1
"5550",6
"5579",2
"5621",8
"5779",1
"5989",1
"6095",8
"6169",5
"6318",4
"6751",4
"7295",3
"7561",4
"7694",4
"8019",4
"8078",1
"8182",4
"8363",5
"8533",1
"8866",15
"8885",11
"9162",3
"10553",40
"10671",2
"10992",3
"11291",1
"11890",1
"11978",6
"13738",8
"14093",1
"14467",2
"15091",2
"17342",3
"17599",1
"17875",1
"18230",3
"18755",1
"19736",6
"21851",1
"22257",6
"22622",3
"22684",13
"22924",2
"22999",5
"23079",3
"23142",2
"23224",4
"24397",2
"25758",8
"27122",4
"27874",5
"28067",9
"28170",1
"28979",5
"35948",3
"37123",2
"37166",7
"38109",1
"38210",1
"38231",1
"39314",1
"39940",5
"41806",2
"42944",2
"43700",1
"43876",2
"44207",12
"44469",5
"44683",2
"44771",2
"46160",1
"47619",2
"47632",27
"47640",2
"47648",1
"47702",9
"47715",5
"47720",3
"47759",2
"47809",3
"48948",1
"49655",2
"53574",1
"58617",4
"60307",3
"62375",1
"74143",4
"76186",2
"89112",5
"90204",3
"92622",1
"99679",7
"100093",1
"101850",4
"122968",2
"126460",9
"127102",2
"127665",3
"129013",2
"130173",1
"131439",2
"135283",7
"139951",3
"141698",8
"156704",2
"157280",2
"160207",2
"166358",4
"173233",1
"189415",2
"202706",2
"205437",1
"206888",2
"206904",5
"206924",1
"216872",1
"216901",2
"223963",1
"227173",7
"232637",1
"234877",1
"261796",7
"274290",5
"280282",1
"281516",3
"281566",3
"302869",4
"465435",1
"482901",2
"549999",2
"648138",1
"454885",1
"275809",3
"197403",5
"276",37
"676",11
"1160",6
"1191",4
"1235",3
"1271",14
"1447",1
"1506",1
"1846",5
"1923",9
"1957",2
"2072",2
"2153",2
"2198",7
"2401",6
"2480",6
"2523",7
"2676",3
"2845",9
"3426",5
"3597",5
"4069",2
"4364",6
"4389",9
"4444",14
"4587",19
"4631",3
"4703",5
"4848",3
"4961",2
"5246",1
"5447",2
"5595",11
"5631",3
"5694",6
"5817",1
"5936",3
"5999",3
"6149",1
"6176",2
"6380",2
"6415",7
"6441",8
"6473",4
"6476",24
"6624",4
"6759",2
"7093",2
"7146",4
"7442",1
"7828",18
"8178",3
"8455",2
"8721",9
"9130",1
"9611",1
"9707",2
"10370",2
"10801",1
"11192",12
"11810",31
"11849",3
"11853",44
"11867",17
"11881",10
"11899",2
"11909",2
"11917",5
"11933",1
"12367",11
"12395",2
"12577",10
"12927",10
"14382",3
"15013",1
"15649",2
"15874",2
"16173",25
"17138",2
"17260",5
"17955",2
"18041",3
"18198",2
"18303",6
"18401",1
"18563",22
"18692",3
"18793",3
"19179",3
"20004",1
"20015",6
"20030",7
"20036",11
"20053",11
"20061",4
"20075",18
"20136",5
"20155",2
"20181",4
"20203",13
"20206",7
"20211",7
"20235",23
"20249",5
"20274",5
"20284",1
"20311",4
"20351",2
"20365",1
"20373",18
"20395",13
"20424",6
"20436",4
"20445",11
"20487",24
"20539",2
"20552",6
"20568",12
"20577",4
"20596",9
"20663",5
"20676",9
"20718",5
"20722",5
"20754",18
"20764",4
"20781",3
"20821",1
"20854",6
"20866",6
"20912",4
"20924",3
"20963",4
"20979",3
"21001",5
"21018",5
"21027",4
"21066",20
"21103",3
"21116",10
"21123",6
"21140",10
"21176",3
"21214",16
"21237",2
"21251",3
"21281",2
"21298",1
"21332",4
"21344",4
"21354",3
"21579",5
"21622",7
"22150",3
"22631",3
"22644",3
"22694",1
"22774",1
"22818",4
"22834",4
"22860",9
"22928",1
"22968",1
"23092",1
"23129",2
"23136",1
"23196",1
"23245",5
"23282",3
"23296",4
"24132",1
"24763",2
"24996",7
"25100",5
"25599",4
"25998",7
"26642",1
"26841",3
"26961",3
"27124",2
"28245",1
"28935",6
"29101",1
"29171",10
"29460",1
"29918",1
"29956",5
"30026",5
"30033",16
"30047",1
"30052",2
"30114",5
"30132",15
"30147",1
"30187",4
"30210",4
"30258",4
"30327",1
"30358",6
"30843",1
"31315",1
"31763",3
"31895",1
"32172",1
"32498",3
"32912",5
"33108",1
"33312",1
"33591",4
"33622",1
"33712",2
"33826",2
"34647",1
"35333",5
"35418",1
"35445",1
"35533",1
"35563",1
"35589",1
"35794",3
"36629",7
"36966",6
"37121",2
"37189",2
"37195",14
"37275",4
"37291",1
"37595",6
"37954",3
"37963",1
"38255",1
"38260",3
"38279",2
"38302",1
"38333",1
"38340",2
"38348",4
"38380",7
"38460",4
"38512",5
"38532",5
"40311",11
"40969",1
"42512",1
"43088",1
"43329",3
"43547",2
"44189",2
"44293",7
"44735",3
"44938",6
"45299",1
"47057",2
"47517",4
"47746",3
"47862",1
"48363",14
"48370",1
"48604",2
"49177",1
"49873",8
"51081",2
"51133",1
"51429",7
"51831",1
"52166",1
"52657",7
"53009",1
"53789",2
"53968",5
"54114",12
"54595",1
"55062",1
"55328",1
"55813",4
"56318",1
"56623",1
"57874",3
"58457",3
"59023",1
"59837",6
"60161",1
"60253",3
