"","x"
"48",766
"69",52
"33",143
"54",1252
"57",634
"22",88
"4",518
"25",865
"83",382
"60",1214
"16",565
"24",798
"29",71
"65",126
"39",292
"14",491
"61",112
"38",237
"70",380
"66",485
"85",384
"0",732
"23",507
"49",931
"87",311
"64",270
"19",329
"77",378
"1",399
"88",475
"55",102
"43",516
"80",463
"12",109
"35",705
"84",117
"50",117
"56",269
"9",86
"67",297
"58",208
"52",572
"32",115
"46",291
"78",66
"51",28
"8",333
"63",195
"11",227
"21",93
"30",351
"44",250
"62",213
"3",30
"18",168
"26",714
"2",110
"71",1113
"17",183
"86",30
"37",98
"53",47
"15",220
"31",35
"7",116
"36",19
"82",263
"76",164
"73",363
"13",83
"89",49
"75",6
"47",93
"42",93
"45",102
"10",87
"74",45
"34",13
"5",40
"59",51
"81",24
"68",18
"27",113
"72",13
"40",4
"79",1
"41",1
"6",1
"28",10
