"","x"
"168",10374
"2",1792
"42",257
"870",552
"663",1002
"565",853
"987",10571
"581",1764
"978",3791
"569",2534
"174",52
"844",1137
"31",1648
"429",2651
"418",3929
"294",2158
"921",753
"159",3177
"700",1331
"947",5285
"703",583
"749",560
"713",938
"34",92
"291",1107
"955",1606
"67",3371
"544",337
"443",1837
"343",1417
"772",2801
"942",764
"135",4826
"674",661
"695",377
"936",859
"112",1586
"933",567
"541",1157
"862",1684
"568",820
"428",3884
"629",9428
"58",327
"344",1312
"643",565
"410",1265
"277",466
"362",1025
"292",211
"435",1646
"207",3067
"433",978
"256",1276
"680",1223
"561",1710
"765",2908
"48",1141
"638",1094
"572",503
"253",384
"105",955
"609",1440
"440",340
"657",368
"274",592
"278",835
"940",459
"833",560
"192",424
"62",1962
"912",6813
"32",1333
"90",3488
"454",4023
"704",809
"280",4364
"249",1180
"685",1494
"530",4209
"988",617
"742",3314
"720",2323
"743",1621
"275",986
"107",3621
"14",2402
"718",4833
"308",119
"692",2863
"830",212
"335",1842
"575",783
"1001",2231
"854",1103
"586",7916
"65",983
"188",1190
"185",464
"165",4101
"5",823
"267",3623
"321",637
"171",433
"540",3630
"858",263
"577",819
"72",186
"1004",1180
"927",2326
"136",1315
"309",144
"311",712
"859",81
"977",4453
"290",882
"334",2833
"245",1652
"61",3882
"855",1020
"493",1470
"103",1023
"499",1335
"332",1758
"684",1941
"101",778
"469",2052
"787",58
"193",1305
"166",1975
"712",803
"771",1246
"189",2171
"134",1396
"84",89
"769",377
"738",3478
"137",262
"523",84
"868",1624
"220",917
"383",1377
"392",755
"517",1819
"803",468
"948",2358
"631",566
"582",800
"624",499
"4",499
"535",1048
"966",541
"790",3724
"167",1126
"702",876
"758",663
"511",105
"231",2141
"644",1478
"337",787
"596",137
"316",5490
"41",628
"360",712
"731",2160
"416",4402
"698",1219
"926",817
"915",6218
"592",2456
"53",927
"900",1045
"77",1536
"356",7628
"788",383
"951",2401
"444",434
"723",599
"250",919
"306",1476
"534",1733
"809",513
"462",621
"191",782
"200",2509
"35",534
"75",1738
"233",1089
"24",2469
"388",909
"175",1557
"950",1039
"260",1886
"369",871
"891",4374
"660",185
"707",1379
"885",981
"64",73
"881",662
"599",849
"552",424
"147",2315
"746",5625
"532",1346
"106",369
"602",1279
"506",4190
"126",2175
"398",178
"776",580
"500",2356
"232",2316
"693",1185
"648",1628
"724",1537
"472",4267
"537",752
"180",160
"303",127
"628",841
"401",4561
"659",372
"402",294
"696",1131
"142",1487
"415",2689
"150",306
"952",1094
"550",668
"236",986
"424",1673
"907",140
"909",478
"450",2318
"25",422
"38",652
"904",151
"607",2583
"381",1528
"701",30
"546",774
"133",511
"423",2315
"924",1686
"612",184
"482",1025
"547",1135
"630",2733
"671",275
"956",1060
"505",249
"377",1301
"160",1344
"173",606
"420",380
"846",1917
"116",30
"184",698
"866",769
"849",1518
"214",4482
"338",752
"125",489
"963",1261
"697",1188
"672",233
"923",3276
"326",135
"228",920
"558",1142
"281",389
"76",108
"509",413
"798",89
"795",1356
"670",726
"531",963
"838",751
"187",532
"850",1568
"662",1421
"953",643
"397",109
"40",1688
"111",254
"353",801
"143",387
"890",858
"327",596
"161",352
"114",237
"984",1495
"422",1211
"491",310
"764",1189
"654",951
"52",1312
"595",1553
"458",1034
"170",615
"840",1119
