"","x"
"0",9
"3",87
"4",69
"5",83
"7",60
"8",84
"9",59
"11",14
"13",6
"14",6
"15",16
"17",39
"20",17
"21",20
"22",10
"25",3
"27",12
"28",5
"29",9
"30",14
"31",37
"32",15
"33",12
"36",13
"38",30
"39",12
"43",16
"44",10
"49",17
"55",12
"60",12
"61",11
"62",12
"63",20
"64",15
"65",14
"66",10
"67",12
"68",12
"73",15
"75",14
"76",16
"78",13
"80",3
"81",14
"83",16
"87",11
"89",14
"91",5
"92",15
"98",10
"100",4
"101",14
"102",17
"104",3
"105",13
"108",19
"109",10
"110",18
"111",14
"112",16
"113",21
"116",15
"120",12
"122",79
"123",97
"124",87
"125",82
"126",83
"127",95
"129",71
"130",13
"131",15
"132",21
"133",24
"135",12
"136",13
"137",3
"138",12
"141",16
"143",81
"144",79
"145",90
"146",69
"147",76
"148",77
"149",88
"151",13
"155",12
"158",21
"160",11
"162",14
"165",16
"167",14
"169",16
"172",13
"173",13
"174",72
"175",66
"176",75
"177",79
"178",17
"179",80
"180",43
"181",12
"191",15
"192",5
"193",10
"194",11
"195",11
"196",14
"197",11
"198",14
"201",12
"203",7
"208",13
"209",11
"211",15
"218",11
"225",11
"226",12
"228",14
"229",17
"232",2
"236",10
"238",51
"241",10
"243",15
"244",14
"247",70
"248",67
"249",90
"250",48
"251",91
"252",56
"253",16
"257",19
"263",15
"264",91
"267",13
"270",12
"276",13
"279",16
"280",15
"283",12
"284",11
"285",16
"288",13
"289",19
"298",16
"299",11
"300",11
"302",5
"303",17
"305",12
"307",16
"310",10
"311",16
"314",14
"316",2
"321",12
"324",4
"325",22
"326",16
"327",16
"331",12
"334",12
"335",14
"339",13
"340",11
"341",16
"343",14
"344",5
"345",14
"346",16
"348",13
"349",10
"350",16
"351",25
"352",80
"353",80
"355",13
"356",16
"359",12
"360",8
"366",10
"367",94
"369",72
"370",12
"371",12
"372",11
"377",11
"378",13
"379",3
"380",14
"381",16
"382",13
"385",17
"386",13
"387",14
"389",14
"390",79
"391",18
"392",12
"398",12
"399",10
"401",12
"406",6
"407",7
"409",13
"410",10
"411",14
"412",21
"413",5
"415",12
"416",16
"418",13
"421",10
"422",82
"423",65
"424",92
"425",12
"427",91
"428",10
"430",12
"431",11
"433",8
"434",13
"435",7
"437",8
"438",13
"439",10
"440",17
"448",14
"449",11
"450",11
"455",10
"458",18
"466",8
"469",16
"472",17
"473",14
"475",12
"478",19
"479",12
"480",12
"481",12
"483",5
"484",13
"485",14
"489",12
"490",16
"494",17
"496",15
"499",11
"500",6
"504",12
"505",15
"507",14
"508",11
"509",12
"516",10
"521",14
"526",3
"527",22
"528",13
"531",19
"532",13
"533",11
"536",3
"537",10
"541",11
"544",12
"547",16
"548",15
"551",16
"553",16
"554",32
"557",12
"558",41
"559",76
"560",13
"563",11
"571",13
"572",15
"573",6
"574",11
"576",16
"577",12
"579",13
"580",11
"581",7
"582",18
"584",14
"586",26
"588",11
"599",11
"605",18
"606",13
"607",11
"608",2
"610",12
"611",12
"613",11
"617",11
"620",12
"628",13
